text
"I'm at 東京都庁 (新宿区, 東京都) w/ 4 others http://t.co/I4474TKx"
この発想は無かったわ（笑） http://t.co/K4kDYvdn
@koutan_184 わはは。うちの学校だけではなかつたのですねー。
@tkntsmt あ、珍しくないんですねー。
あーでも、小学校のとき警察が学校にきてて、講習受けたあとに、免許貰ったわ。自転車の。
@searea3 情報ありがとうこざいむす！今度行ってみます！
@milkcocoa0331 なかまやー。そして、高いっすね。
@searea3 パウダールームが分かりませんが、シャワーはあります。そして、今は品川のジムであります。
天下りww RT @teim1978: 免許制にしたら良いのでないの？天下り先できちゃうか^^;RT @kiwipon 自転車の歩道走行禁止、厳格運用…警視庁が安全対策策定へ http://t.co/isUOEcbw
あぁ、遅かった。今度いってみます！ RT @MinakoTYO: 品川シーサイドのイオンでお買い物でもどぞー。RT @kiwipon はい、りんかい線逆方向に乗ってしまいましたよ？
やりましょうか(笑) RT @hiromki93: @kiwipon その場合、ファンミ？するよねやっぱり。
うほっ！ RT @otonaoto: ウホッ！あるよ！男性会員限定← RT @kiwipon ファンクラブ、あるのかな？作ってください(笑) RT @Lyra_R うん、大平さんはカッコいいと思います。ファンクラブあるんですか？あってもいいと思いますにゃ
最低週１は平日朝ジムしよう！と宣言。夜は人と会うために使うべきだ思う。ジム行くのは勿体ない。今日朝、行けば良かったなぁ。
@JunItabashi おかえるなさーい
@niinaryo ちょっと元気になれたみたいで良かったです。
なるほど。RT @hiromki93: やっぱり朝走ると一日が快適だった〜。アラフォーにもなると「ゴロゴロする」「出掛ける」以外のストレス対処を見つけるのが大切だと痛感。会社と仕事が嫌いなのは変わんないけどさ。
@miponee おつかれさまぁ。
はい、りんかい線逆方向に乗ってしまいましたよ？
ファンクラブ、あるのかな？作ってください(笑)RT @Lyra_R: @kiwipon がんばれえ、王子、跳ね返すんだぁぁ(￣▽￣) うん、大平さんはカッコいいと思います。ファンクラブあるんですか？あってもいいと思いますにゃ。
@458025 ですね。
自転車の歩道走行禁止、厳格運用…警視庁が安全対策策定へ http://t.co/isUOEcbw
@koko11263104 キウイか、ぐんちゃんで(笑)
チャングンソクのスパムメールが回ってきた。人気者は辛いｗ
衝撃：Reading:NHKニュース　日本人のがん“半分は予防可能” http://t.co/Tj6IYq2h
@asu_pi おめでとううううう！！！
わんこにゃんこの寝顔ー。かわゆ！>> Tengo sueño – 眠い (nemui) http://t.co/mzf0Mwfi
RT @kappamark: 緊急院内集会までやった甲斐あって、明日の原賠審（能見座長）で「自主」避難者の意見陳述が実現しました！傍聴可能です。詳しくはこちら http://t.co/MWo2alfn
いろんな意味で驚くなぁ。。>> 子に物乞いさせた疑い 父逮捕 NHKニュース http://t.co/hKGHGAfv
@riffleshuffle 無事なのか(笑)
@komakitinn ちょんまげです！（キリッ）
@196605413009MYU ええ、なんとか。。。
@haru16cherry ありがとう。にゃんとか。。。あ、みわちゃんと今度我が家でディズニーの花火を見ながら女子会をしようとかいう構想があるんだけど、くる？
なんでやねんw RT @koutan_184: @kiwipon 後頭部出血...→もちろん肛門からも血がでてますよね＾＾；痔
@moemilk_ もえかちゃぁぁあん！おは！何とかなりました！
@kaori_ymn これからはちゃんとトリートメントします。グスン。
@youri_712 大丈夫みたい。ありがとうー。
@hiromki93 いやいあ、写真の通りですよー。
@chekhovnoitoko くるくるやってた。、
@punisuke_house かも。。。
@daikumaster ちょww
わーありがとうございます！RT @oonumanoriko: @kiwipon 機械が誤作動した音みたいでした。あ！　未来を変えるための〜買いました！　これから読みます！
@tomochin_nv えーっ、どうやって。。。そいえば、きのうは何もなかったのかな。誰ですか？的な顔されたしなぁ。。。
そこをなんとか！RT @ettanmarch: 見つけたいけどそのタイトル、恥ずかしくて手に取れない…うう RT @kiwipon 新大久保イケメンパラダイス、本屋さんに売ってた！おいらを見つけたら、通報してくださいね～(笑)
後頭部出血しつつ、何とか引き剥がしにせいこう。
@omugikomugi @hiro_football ちよんまげ説がふたつ(笑)
@kiyu615 乾かしたら動いた！
やばい、ヘアブラシが後頭部に貼り付いてうんともすんとも動かなくなってしまった・・・このまま会社へ行かなくてはならないのか！？ど、どうすれば・・・
@tomochin_nv えーっ
@denkiiruka お疲れ様です＞＜
たぶんそうです。雑誌丁です。RT @jennifertokyo: @kiwipon 三省堂有楽町店とかにあるかな？あれってどのジャンルに出ていているの？ガイド？
@sawa_barbie_k ちゃんぐんそくに似ていて良かったです(笑)
新大久保イケメンパラダイス、本屋さんに売ってた！おいらを見つけたら、通報してくださいね～(笑)
いや、真面目に、ソーシャルメディアで日本政治を変革させるつもりだけど、お金はありませんよという話ｗ　RT @koutan_184: @kiwipon  お金ないから入れないけどｗ→単に冷やかしかいなwww
わわー！興味深いです！ RT @chibicoo: 今日のクロ現は「地方を変えるコミュニティデザイン」新しい町づくりの形、ということだそうです。 #nhk
日本政策学校のシンポジウムに来ています。お金ないから入れないけどｗ #jpolicy
@oonumanoriko 不思議な鳴き声のカエルですね～
電源確保！ (@ Playground Office Q) http://t.co/fvOBIcBf
"ノマドワーキングは、電源がなくなると仕事ができなくなる。ノマド（遊牧民）って言うけど、その実は電源""難民""です。(笑)"
@otonaoto そうそう、コスパ悪すぎて可哀想だった笑
@otonaoto とある会社の代理店説明会でありました。ガラガラでわろたw
参加者6名ってヤバくないですか。。。
"I'm at 東京国際フォーラム (TOKYO INTERNATIONAL FORUM) (丸の内3‐5‐1, 千代田区) http://t.co/ySF6tTpk"
おめでたい！>> 熊本市 来春に政令指定都市へ NHKニュース http://t.co/qKqklApZ
気をつけにゃいと。>> ネットバンキングの被害急増 NHKニュース http://t.co/eSDqTx8X
別に秘密結社じゃないけどねぇ。
「秘密結社」フリーメイソンがベール脱ぐ　情報発信し、フェイスブックで会員集め (1/2) : J-CASTニュース http://t.co/MhB1508k via @jcast_news
@kyuri02 ｗｗ
【ブログ更新しました】＞ 年金と高齢者の就労の場について http://t.co/y6H5l5Q5
若者で今やダブルワーク、トリプルワークなんて少なくなくて、仕事が単一というのはかなり恵まれた環境。ってことで、わしもお金稼ぐためのバイトを探しますか。。。w
電車で寝てたら、寝違えたみたいに首が痛いw
聞きたいw RT @otonaoto: 聞きたい☆彡 QT @opanpon 無職説明会、そういえばやれずにきたから、やります？か。需要を再確認ですが、どうなんでしょうか？
@Juliet0112 がんばー
@ako0212 スマホとワイン師匠！
http://t.co/UI6zQj5Mアメリカの動画サイトHuluが日本に上陸してた。
@okanatsu 起きられてよかったですね！お疲れ様～（笑）
五分ほど前に、うおおお、これが地獄の入り口か。。。と言うのに直面。入ってみるか、様子を見るか、引き返すか。。。もう既に片足を突っ込んでいる感じですが。(笑)どうなりますことやら。
QT @oriental_pre: 誰にでも突然起こりうる花粉症。免疫力が下がる原因の、疲れやストレスをためないことが一番ですが、なかなか難しいですよね。そこで、手軽に飲み物で予防！甜茶、ハーブティー（ミント、ネトル、ルイボスなど）、べにふうき茶、凍頂烏龍茶など。試してみては？
@openarms1986 良かったです！
@morisgawa なんとなく(笑)
@50000etsu 良かった♪
イタリア風卵焼き！ http://t.co/SWZSBzqE
"I'm at La Quinta (東日本橋3-5-9, 中央区) http://t.co/G75TcH2B"
@Reika0114 大丈夫っすか。。
イイネ！RT @msx44: 実は身内のよりすぐりのイケメンを集めてBL風味のバーを一夜限りで開催したいと企んでいる。
"I'm at 馬喰町駅 (Bakurochō Sta.) (日本橋馬喰町1, 中央区) http://t.co/AeE1C4Oh"
@ruka_haru 幅広いっすねー！
@Eriko_K_46 萌えるね！
@jennifertokyo 口ひげを消したいモジャ。
@isi777gogo thx ! You too!!
@tomochin_nv イェーイ★
@tomomo_Rin ありがとう！
@zoldvod218g7stu アザッス！
@tack0720 いいなぁ！
@daikumaster コチョコチョー
@ako0212 あこ師匠にお会いできるのはいつの日か。。。
@xmxayax 仲間！
@50000etsu それはないと思います(笑)
@morisgawa なんて器用なわんこでしょう！
@sora_shinamon ドキドキだね★
@melody_chie アザッス！
@azumi4078 アザッス！
それは楽しみです！RT @nao_hara_net: １８時からとある雑誌の取材。『都内家賃5万以内生活最強ナビ』的な内容。テーマがいい。
サムスン、日豪でも仮処分申請　ｉＰｈｏｎｅ４Ｓ巡り　　：日本経済新聞 http://t.co/eqJDMGHV
@tomomo_Rin あははw
容量２倍リチウムイオン電池 ってすごい！＞＞Reading:NHKニュース　レアメタル使わない電池開発 http://t.co/N8oFavu5
日本語って、順序を変えただけでだいぶ印象や解釈が変わりますね。まぁ、どの言語でもですけど。きちんと意図の伝わる文章を心掛けたい。
@azumi4078 ありがとうございますー。
@kashi131 日本語の順序がおかしいですね(笑)
って自分で言って恥ずかしくなった。ファインプレーが出来て良かったアル。
網棚に子供が忘れたリュックをレスキュー。オレ、カコイイ！
ヒゲ脱毛って幾らぐらいで出来るのかなぁ。
@yuuu_jp 場所にも依りますが、19時であれば都内どこでも行けますー。@from 天王洲
げ、もうこんな時間。
@ako0212 仲間！
"I'm at オリエンタル・プレシャス Oriental Precious (北青山2-10-26, Casa Novella 1F, 港区) http://t.co/CaZFiJqP"
タクシーで神谷町へ。わりといく場所だからよくわかるー♪
@megusunu 爆笑w
@kuroneko_3 あはは(笑)
@omatsu555 仲間やー！
@megusunu いたいたw
そんなにすごいのか！？発電所送ってくれた恩返しせな。。>>タイの洪水 国土三分の一が水没 http://t.co/fXMPrlKz
半袖を着てきてしまった。周りを見渡しても半袖は皆無。。。ぽつん。(´･ω･｀)。
@suzumin_61 んん？こっちのエラーなん？
@stonevillage723 have a nice day!
@Reika0114 ねー♪
@daikumaster なんか怪しい(笑)
@teizuisun お大事にw
@hiyayakko64 デッキ席ですねー！覚えましたっ！
@458025 ええ、おかげさまで！
@yuuu_jp おはー。今夜のことですか？行けるかもかも。
@suzumin_61 ううん！？なじぇ。。、
@okanatsu 安心したー。
布団からなかなか抜け出せない季節だなぁ(笑)
@tamariba00 たのしかったでござる。
うーん、かなり楽しかった！知的好奇心がウズウズする感覚。
@suzumin_61 ん、そいえばドラクエもんじゃ２２日は流れるって理解でいいのかなぁ。
"I'm at SPORTS CAFE&BAR たまりば (当代島 1-5-40, 浦安バイパス, 浦安市) http://t.co/LVpwy2Ci"
@suzumin_61 おつかれちゃま。
@hiyayakko64 行ったこと無い～！いってみるー！
@okanatsu 特に無いのでスポーツバーで♪　20時過ぎ辺りにそちらへ伺えば良いかな？
@daikumaster ん、生暖かい・・・
@yuuiill ありがとー
@okanatsu 風強い＆風向きで８割がた無い感触です。私はどちらでもいいけど、おかなっちゃんがリラックスできる方で～♪
ん、風強いな・・・
安い～。これ欲しいかも！RT @MICHIsakurai: なくなり次第終了！100セット限定！ トラベルセットだにょー(-^〇^-)http://t.co/IPqC7PxL
これは綺麗。。。！RT @Aoki_Kotomi: 富士山、照れてる☆ RT @rosarinn: 珍しくこんな時間に富士山がくっきり見える！ http://t.co/2d12Usvn
@okanatsu コーヒーは胃に悪そう。。。いらっしゃる場合は紅茶でよろし？
@okanatsu らぢゃー。スポーツバーって、お酒大丈夫なの？
@okanatsu 確かに風が強い。。とりあえず、ダメモトでってことで(笑)
@okanatsu ８時了解ですー。それとも、花火観に来ます？(笑)
@okanatsu 7時頃とかはいかがですか？
違う電車に乗っていることに気づいた。。。都営三田線と南北線の白金台・白金高輪付近は難易度高すぎ。って、去年も7月もやったなぁ。。。
@maron7007 新アイコンいいね！
@okanatsu お時間あるときに、軽くお茶でもいたしませう。（今日はいかが？）そうそう、生の石破さんに会ったよ！（じまんw）
@okanatsu おかなつちゃんが心配です。ご近所だし、お役にたてることがあれば、何でもお申し付け下さいね★いつも助けて貰ってるのでー。
三重県にまた舞い戻る。抽選会で松阪牛が出てくるとか素敵ですね！
@ishinabe 愛知県とか、三重県とかです(笑)
@tomochin_nv 入れなくて残念だったね(笑)
鳥取と言えば、この人。石破さん！ http://t.co/6rqnvlD5
@suzumin_61 日曜日もスクーリングお疲れ様。いろいろと頑張っているところ、尊敬してます。
東京鳥取県人会！ (@ グランドパレスホテル Cattleya) http://t.co/nMcOsV9q
"I'm at 永田町駅 (Nagatacho Sta.) (永田町1-11-28, 千代田区) http://t.co/AOz60jNS"
@okanatsu お大事にしてくださいませ。。
@Bluecastle7 さすが！反応してくださいまして！
@c3po_k まぁ、それがないと入れない訳ではないので(笑)
ちょっと遅くなったけど、東京三重県人会を切り上げて、東京鳥取県人会へ向かう！
東京三重県人会に来ています！ (@ 八芳園) http://t.co/MGqYUVcs
@Ksnicc みすじとかっすかね？(笑)
報道腕章忘れた。。。
@Ksnicc どこに住んでいたのですか？
@kunihiko_007 振り返られます(笑)
おはようございます(笑)鞄につけて愛用しています。 http://t.co/atuuE92v RT @suzume_k: @kiwipon ニセグンちゃん、おはよう。
韓国に住んでいる人にそういって頂けると嬉しいです(笑) RT @eknakano: @white319 @kiwipon わ！ほんと、グンちゃんの兄貴みたいに似てますね～
お陰でこの本にも出演(笑) http://t.co/z0f6Ix6F RT @kunihiko_007: え～！そっくり！！ QT: チャングンソクさんですw RT 突然すみません。アイコンの後ろの大きなポスター？は、kiwiponさんの幼い時ですか？よく見たらそっくりなので、
理容免許も持っているとのことで、顔剃り、眉カットもやってくれる素敵な美容院です！ (@ Az hair) [pic]: http://t.co/wtf3Vjz6
"I'm at 鳥越神社 (鳥越2-4-1, 蔵前橋通り, 台東区) http://t.co/MfnmdQDy"
チャングンソクさんですww RT @kunihiko_007: @kiwipon 突然すみません。アイコンの後ろの大きなポスター？は、kiwiponさんの幼い時ですか？よく見たらそっくりなので、思わずツイートしちゃいました。。。。
@teizuisun 頭のなかで音声化されましたよん♪
和んだ(笑) RT @teizuisun: @kiwipon それはとても大変だ。クリストファーロビンならきっと解決してくれるね。
うーん、これ誰に相談するべきなんでしょう。。。誰かに相談して解決する類いでもない気がしますが。。。
またやったのか、。。>> 東大 サドル抜いてブロッコリ NHKニュース http://t.co/4xdCCnNy
こうやって、周りから崩れていくのかなぁ>> AKB48姉妹グループ「SDN48」解散へ http://t.co/9Vvcf4AH
@jennifertokyo Yes，、、高給文鎮。。。。
@sayokom むむっ、六本木行けばよかったお。
え、普通にそう思ってた（笑）RT @teizuisun: @kiwipon さぁん！大変大変＼(゜ロ＼)(／ロ゜)／ RT Tired_Nova: んな訳ない http://t.co/gKfSZ8YB
@maron7007 品川で肉フエスやってるから行くと良いかも。
@daiki958 そんなに安いん！？
@maron7007 笑顔の素敵な女の子ですね！了解です！
@white_soap それは重畳。電話でよかったら対応するので、また連絡ちょ。
@maron7007 どういうお友だちがいいっすか？(笑)
@white_soap だよねぇ。。。
@maron7007 いぇーす、毎食肉食べてるかも(笑)今度一緒に肉食べよう！
@konyanpachi さすが、よく気づいたね！ネコザネです！
@konishium ええええ！！
@Tokyo_Wave 美味しそうですね！
@maron7007 肉なら何でも(笑)豚肉が好きなんですか？
@maron7007 同じく。
@asoutomtom 打ち上げで連れていっていただいたのでした♪
@rolinza35 食べ方わからなくって(笑)
@Norinonnonnon 今度御一緒しましょう！
@megusunu 完全予約制のおみせでつ。あぁ、めぐすぬさんとのみたかったーっ！
@tohatt ねつけ
@hayakana おお！あそびにいくね！
@codawarishouten てへっ。さすが肉マスター！
@msx44 にゃー
おお！RT @mterachan: どうぞ、解約済みiPhoneでもiOS 5にアップグレードできる「アクティベートカード」http://t.co/V3Ky5Xgy  RT @kiwipon: 手持ちのiPhone３GSをiOS５にアップデートしたんだけど、アクティベートの
"I'm at 浦安市中央武道館 (猫実1-18-15, 浦安市) http://t.co/LuPcMge8"
@white_soap どっかで軽くお茶しながら話聞こうか？
@dokurokun そっすねー。そう思って調べていた所です。専門家に言われると、方向性は間違ってなかったんだなぁと感じられました。ありがとう！
@i_ponta ありがとうございます。探してみます。
@agastudent @sesuna @yuriko573 ぉ、ありがとうございます。誰かの借りてみます。
手持ちのiPhone３GSをiOS５にアップデートしたんだけど、アクティベートのためにSIMカードを入れろと言われた。解約してたからもう無いっすよ・・・というわけで、まるっきり使えなくなってしまうという残念な事態に・・・。
@white_soap なでなでしてあげたい。。。
@white_soap あれまぁ、辛いねぇ。。。
@white_soap どったの？
@perfume__love お、じゃんねーん。
17日発売のこの本に載ってるらしいっす。探してみてください(笑) http://t.co/z0f6Ix6F
@Kanaske_ ぶっ(笑)
@suzumin_61 だいじょうび？
さて、次の本の企画を考えましょうか。
@Jens_blues えっ！？
@niwasaku うっす(笑)
@Juliet0112 な、なかま。。。
@perfume__love ぉw
@codawarishouten シンオオクボのガイドブックの発刊記念です(笑)
@perfume__love ぉ、
@suzumin_61 いいね！
"I'm at 高田馬場駅 (Takadanobaba Sta.) (高田馬場1-35-2, 新宿区) w/ 11 others http://t.co/Pgrffk99"
@hayakana 恵比寿じゃないのん？とまれゆとこあるなら(笑)
"キロ12,000のお肉。ほぼ、油やん。。。 http://t.co/lSeLOx93"
えーと、これからどこへいけばいいのかな？
@eaksz 後者と言われました笑
つくってもらった！ http://t.co/xvGgn1oa
I'm at ホルモン船 ほーるちゃん (Shinjuku) http://t.co/6jcIpWRh
にく！ http://t.co/u4NDVaHj
@rolinza35 それ、俺ですw
"I'm at 新大久保駅 (Shin-Okubo Station) (百人町1-10-15, 新宿区) http://t.co/2IsZSU5e"
電車のなかで柿食っとる人がおる！しかも、かわのままw わいるどなおねーさんやー！
@suzumin_61 しょぼーん(´･ω･｀)
@suzumin_61 愛するすずみちゃん、ねんねんころりん♪
おいしいお米、もう終わっちゃうんですね～。RT @codawarishouten: 【ブログ更新】園遊会のニュースを見て→　http://t.co/Ztzz0RSe
@suzumin_61 こないだの俺みたいな状態だね・・・
減ったら減った以上に増やせば良い。
冷蔵庫で喋るペット。可愛い！ハンズやロフト、ヴィレッジバンガードでも売っているらしいのですが、これ、持っている方いますー？ http://t.co/3OEn1Gp5
"I'm at 品川駅 (Shinagawa Sta.) (高輪3 / 港南2, 港区) w/ 21 others http://t.co/98WoybUV"
女性ほどは多くない気がする。あと、比較観点と、その後の思考展開がだいぶ違いますかねぇ。RT @jennifertokyo: @kiwipon 男性は人と比べたりしないの？
@sayokom ナギナタやってほしいなぁー。
女性に多いと思うけど、自分と他人を比較して、自らは不幸だと思うのはやめた方がいい。逆はまだ良いが。。。大抵は比較方法対象を間違えています。そもそも、自分と他人を比較すること自体が微妙。 あなたはあなたのままでよいのだから。
@maron7007 あれ、りんかい線利用者？今りんかいせん乗ってる笑
@BARjayco 素敵なお店でまたいきたくなりましたー！
@himeko_o ブッダの弟子。
ちょっと空気が乾燥してきたかなぁ。若干喉に違和感が。
うん？>> Reading:NHKニュース　高放射線量 原発事故と無関係 http://t.co/DJsLecX2
ども。人間のクズです(笑) RT @konishium: ジェントルだったねえ RT @kiwipon: やかんジェントル http://t.co/r0EYTvmw
Just completed a 4.16 km walk with @runkeeper. Check it out! http://t.co/R3LbCB3f #RunKeeper
@taka0811 やっとはんぶん。ありがとうございます。
@hitomi_okano ども。
@daikumaster 日本国民であるか否か、妹であるか否かにもよります。
@Reika0114 あはは、おきをつけあそばせ。
@leonnorie おつかれさまです。
@taka0811 ええ、本当は浦安へ行きたかった。。。
@hitomi_okano 浦安方面へとほ。
@Hiroko_kiss ん？
@kazutama_san よかった！
妙典？
@iPark0628 はい、乗り過ごしましたよっ
ちょっとまてえええええ
"I'm at 高田馬場駅 (Takadanobaba Sta.) (高田馬場1-35-2, 新宿区) w/ 5 others http://t.co/uL9izZnP"
@hiyayakko64 品川駅は歩いて15分かな。 天王洲のほうがちかいっす！
I'm at 野菜料理と果物カクテル BAR & DINING JAYCO http://t.co/Kd3NwxT3
@kazutama_san よっしゃ！
@daikumaster そういう人は私と相性が悪かった残念な人です。(笑)
@erina1121 え、わたちのこと？(笑)
やべw 日曜日、三重県人会と鳥取県人会のダブルブッキングだww
感情的になっている人は、暫く相手にしないなどしてやり過ごして、落ち着いてから対応するのが良いかと。
やかんジェントル http://t.co/r0EYTvmw
@yasunari3037 知らない(笑)調査してきますー。
肉フェス！>> トピックス - 食肉市場まつりについて http://t.co/JFYsjBJG
@yasunari3037 いらっしゃいます？新宿です。
本日は長野県人会に参加です！
クリアベールの進化系がタービュランスなのかなぁ？？＞＞『タービュランス空気清浄機TB-201 ①設置編』 http://t.co/NfRFn4O6
でも、所有権を放棄したわけではないわけで…RT @yamayama_3: 耕作放棄地は多くあるが RT @kiwipon: 土地がある人は RT @yoppy35momo: いよいよ、農業の出番か。RT @kiwipon:NHKニュース　高齢者が働ける企業 半数以下
土地がある人は＾＾RT @yoppy35momo: いよいよ、農業の出番か。RT @kiwipon: 収入がなくなり、貯金が尽きれば生活保護にいくわけで。。>> Reading:NHKニュース　高齢者が働ける企業 半数以下 http://t.co/6Wrz2SHQ
マルコポーロに謝れと言いたい。
@1962yagiza いろいろと、認識が間違っていますよw
Reading >> 年金の支給年齢を引き上げるのはすばらしいアイデア http://t.co/jfbv0iyL
@chcochocochoco おはようございます。いいえ、浦安です。先月大阪と三重に行きましたよー。
@Reika0114 せっかく痩せたのにーw食欲の秋だねぇ
Reading:NHKニュース　横浜市 ストロンチウム検出か http://t.co/Qzu10Vpw
収入がなくなり、貯金が尽きれば生活保護にいくわけで。。>> Reading:NHKニュース　高齢者が働ける企業 半数以下 http://t.co/6Wrz2SHQ
あれま。。。>> Reading:NHKニュース　世田谷 放射線量下がらず対応検討 http://t.co/s3rXLQOd
すごい人たちだ。。。>>「ピザは韓国起源」「マルコ・ポーロは私たちのピザを盗んだ泥棒」「イタリアは謝れ」…韓国企業がCM作成 http://t.co/ritKP24N
@ururu222 ありがとうございますー。
@Reika0114 ありがとん^^
@hayakana そういうのないから(笑)
@toshikkoon ふふふ、真理ですねー。
@himeko_o 聖お兄さんでいうところの、アナンダ。
@jennifertokyo あはは(笑)また、遊びにおいでませ。花火も復活したことだし！
@suzumin_0601 ぎゅぅぅぅうぅっ
@suzumin_0601 妹にぶたれる幸せを噛み締める。。。ぎゅっ
@suzumin_0601 アイコンがまた一段と可愛らしく。。
@suzumin_0601 それは幸せの痛みかね(笑)
@shinonome313 苦しゅうない。ちこうよれ(笑)
@tomochin_nv ともちんかっこいいッス！
@suzumin_0601 おはよう。私の最愛の妹。すずみちゃんは幸せな痛みで良いね^^
@kanaske_ セイントおにいさんのアナンダ的な（笑）
呪われた顔面から解放されたい・・・
週末からあたまいたすぎるー。あたまいたすぎる。
@shinonome313 むしろ、みぃみをナデナデしてめでたい（笑）
@omamiuda_minoru 私もそのような社会を目指して頑張っております。「選択の自由が幅広く保障されている社会、がんばった人が報われる社会、子供にツケを回さない社会、そして利他の精神を尊べる社会を目指して」　箱根まで100km寝ずに22hかけて歩いた程度ですが…。
歩いてでも行けそうですね。私もお伴したい（笑） RT @opanpon: 200km圏内なので、自転車でも行けますから行きます！ RT @omamiuda_minoru:あなたも！是非足利市にどうぞ。@opanpon:市長半端ないすね！http://t.co/1HQtr0dC
@narutokintoki 私は誰とも付き合いません（笑）国民全体の奉仕者でありたいから。
最近、恋愛関係で衝撃的だったのは付き合ってたことを忘れてましたという話w おもろいねーちゃんやった(笑)
@teizuisun わしとにとるてんかいだのう。
@info_tama プーさんのアイコンで言われるとちょびっと嬉しい。
@hayakana てへっ★
@hayakana 俺の妹の定義はかなり広いんだぜ！今のところ、40代が三人おるよん。
@waterrosey なかまやー！
やすみやないか。。。 (@ 浦安市運動公園屋内プール) http://t.co/XE15QQDw
@sayokom わー！さよこむのためにドアというドアを開けまくりたいぜ！じぇにふぁーはちょびっとコワイ。その才能が。。。
@kanakingu いいね！
@hayakana のーまるだよ。
@toshikkoon どのあたりを？(笑)
@teizuisun ていずいさんは面白いので許せます。
@sayokom 妹が怖いのは知ってる。妹なら許せる。さよこむも。
@kanakingu いいなー
これ欲しいw http://t.co/Zyhcr8O0
@shinonome313 おだじに！
これからえびす！
時事ドットコム：生活保護２０４万人＝戦後最多とほぼ同水準－厚労省 http://t.co/wNuJdNnw
はらいた。
@maron7007 うん♪　メガネ写真うｐしてください・・・！
@Eriko_K_46 はちみつペロペロしてるのん？くまのプーさん？
@chibicoo 昨夜は遅くまでお疲れさまでした。お大事になさってください。。。
@tohatt すてた
@Rico523Rico ササミしかないよ(笑)
@yuuu_jp 今週の金曜日はダメだけど、来週の月木金ならー
@Bluecastle7 ホンカシテクダサーイ。朝ごはんしましょうー。
@Rico523Rico もちろん。今日のお弁当です♪
@asoutomtom いや、、太いっすよ。参考→ @04N0b1ラーメン大盛りたべたあとにつけめん中盛り食べる大食漢です(苦笑)
@kanna8kanna ニャー
かといって、今日の朝ごはんは卵の白身、ハンバーグ、豆腐、とこりゃまたタンパク質なメニューなわけでございました。
@Ksnicc 目的はタンパク質！
@maron7007 まろんちゃんおはやうー♪
昨日は、三食ササミでした。今日の朝ごはんはササミは食べなかったので二日連続三食ササミは回避されました。ほっ。
@Kanaske_ また、デートしよう！
@asoutomtom パンはカロリー高いから食べられません(笑)
@kyuri02 価値観の相対性への気づきとかじゃないかちら。
解脱したい！
@Kanaske_ いや、デートの定義ってなんだろねーと思った。
いいですねー。RT @hmiyazaki: ニューヨーク市公園局が市内の公園に無料Wi-Fiスポットを設置中。東京もやればいいのに。外国人観光客が街中で撮った写真を本国の友人とシェアして、観光客が増える！？ http://t.co/NERQOUZC
@openarms1986 そいえば、おこじょさんって1986生まれなんですか！
@daitouasensou 今日は水泳です(笑)
@yuuu_jp あれまー、ざんねん。。。
@Kanaske_ お、そうか。ありがとう:)
@Bluecastle7 おっきいしねぇー。
【ブログ更新しました】＞ 座禅体験＠京都 大徳寺 http://t.co/mTHqDD2z
【ブログ更新しました】＞ エステ初体験♪ http://t.co/eKdb6LjS
スロバキア、欧州基金強化策を否決　週内再採決へ　　：日本経済新聞 http://t.co/aECRTGWk //　採決で賛成したのは議場にいた議員124人のうち55人だけだった。反対は９人、棄権は60人。って凄。
思ったより少ないなぁ・・・＞＞Reading:NHKニュース　震災倒産が３７０社超える http://t.co/n7fvXdKA
Reading:NHKニュース　年金支給“６８～７０歳視野に” http://t.co/UZkjTbvp
@asoutomtom 生クリームは無かったですが美味しかったです！
@sx24karats どったん。
@haru16cherry 風邪？おだーじに。
@bluecastle7 なんか可愛いですね（笑）お大事に・・・。
川島が寂しそうにしている＠さっかー
@asoutomtom お、おいしすぎる・・・毎日これ食べよう。ちなみに今日は３食ササミです。
@yuuu_jp 馬喰町に来ないと(笑)
@Reika0114 まだドイツに居るんやねえー
@Kanaske_ デートうらやま！
@morisgawa 何故氣志團(笑)
@furing2nukos @konyanpachi いいね！
流体力学のグラスがかなり良かったので、もうひとつ買うことにした。
@tohatt ありがとうー
@QUEEN2100 なーんだ(笑)
@hayakana おれもおれも！
@tohatt いや、、さんきろふとったの。。。
ジムでエアロバイクを漕ぎながらサッカー観ています♪
@kaobabe 伊勢うどん良いですねー。
@Itigoichien3 まいはまに行ったからといって、ディズニーに行くわけでは無いんですけどねわら
@openarms1986 しゃしんはー？
@shintakezawa いいえ、別の場所でのデートがキャンセルになったので、一人できました(笑)
@judo_kigyouka へへへ、近いうちメシ食いましょうー。
@QUEEN2100 カップルでウェディングドレス着てるの！？あらやだ、素敵じゃない。
@mioim_yaki いい仕事じゃまいか。
@asoutomtom お疲れ様ですー
"I'm at 舞浜駅 (Maihama Sta.) (舞浜26-5, 浦安市) w/ 2 others http://t.co/RVZONSWq"
@konyanpachi おだいじに！
今日はDreamWeaverの操作技術が上がった。（そして、昨日、図書館でDWの参考書を借りてくるのを忘れたことに気づいた・・・テーブルタグ以外のｿｳｻﾜｶﾘﾏｾﾝorz）
@asoutomtom や、やせないと・・・。
@shigeto4500 一年やったよｗ
@hiyayakko64 あれ、品川だったの。最近品川勤務になりました。
