text
@tofu_niconico 何を言っているのかわからないままふぁぼってるところがあるので…
@jihanki_jihanki いますよね～、あとバイオハザードでつられて壁に擦り付けて鼻の骨がへし折れてる人
【スマブラをやっている人】「いてっ！」←！？！？！？！？！？！？！？！？！？！？！？ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
@siondaahon 見事…！（軽々氷塊を一刀両断出来るのに人間には傷を負わせる程度）
@tyukenpotita 味方サイドの弓使いによる攻撃だと思っていたが、味方側にも被害が及んでいることから第三者の可能性を示唆してきたな
@Tkt_Ktk とりま寄生獣しか見てねぇや
@1178Sin その代わり戦闘が始まるとHPが最大値の実に1/5まで落ち込んでいる
ククク…ぐああっ！（背に矢を受ける）ここまで来れたことは誉めてやぐああっ！（背に矢を受ける）しかし一歩遅かった様だなぐああっ！（背に矢を受ける）既に世界樹は我の手中にある。マナが枯渇したとてぐああっ！（背に矢を受ける）そろそろ始めようか。貴様らの夢物語ぐああっ！（背に矢を受ける）
@karen0311aaa わぁ！凄い！それにしても26点はひどいですね！ゴリラなんですか！？！？
@s_czr1 そ、そんな！！わかりました正直に言ってください
@_ku_ne そういった意味ではすごく英語的だな、って思いました
@storndragon 武力行使容認決議
何ですか　倒置法って
@ChineMikuKaeuta ただの飲み友達だったのにはだけた胸元に目がいってしまい、いつからか惹かれていることに気づいた
クレアおばさんに発情してしまった
@Suppre33 おーい！サプレー！スマブラしようぜー！
@syotasukisuki 当たり前だろ！！！！！！客が客を押し倒してたらryugaiかよ
@syotasukisuki あの暴動でけが人とか出たら大変でしょうから怪しい動きをしながらでも客には指一本触れないように徹底されててすごいなー、と感心してたんですけど普通に押し倒すんですね！？
@vmai_o0vV 見れてますよ、もしかして欧米モンスターエナジーの人ですか！？！？とても綺麗ですね！？！？
@syotasukisuki 話は変わりますが、usjで本物のゾンビに混じってゾンビの真似をして「こえー！！ｗｗｗｗｗｗｗｗ」とかやってるリア充集団のこめかみに手痛い打撃攻撃をかましてもいいんですか？
@_uminiiruyo_ なんか海に固執されている風なIDと名前だったので精肉しか選べない状況に置かれたらどんな判断をされるのか気になりました。ありがとうございます
@sugar_sugar714 ホゲェエエエエエエエエエ！！！突然と言うにはあまりに事が進みすぎでしょこれ！？いやしかし今思えばあれ程の男がいつまでも独り身という方が不自然だったのかもしれません、なんだか私まで、嬉しくなりますね
@syotasukisuki 譜歌 song by Tearとかです
@sugar_sugar714 E！！！！！？？？マジで！！！！！！！！！
@_uminiiruyo_ ぶしつけな質問で申し訳ありませんが、焼肉ではどの部位が好きですか？
@sugar_sugar714 日曜にすることっつったらお女中との交際以外なかろう
マンガボックスをダウンロードしたけどコナンの１４巻しかなかった
( ･ᴗ･  )
@frieding 人をだしにしやがって…絶対に許さんぞ
@syotasukisuki ハッピーマテリアルとふぃぎゅ@メイトを歌い上げTMboxに上げて下さい
@01_nya どうせ僕の体臭がきついという話題で持ちきりだったのでしょう。激しく死にたい
@fntfntfnt2 う～ん、どちらかと言えば皆無です！
@__AMC___ いや、別にあれはライトアップではありません。単なる裸の男です
@scantly 良い全裸ライトアップです
一口に全裸ライトアップ男と言っても良い全裸ライトアップ男と悪い全裸ライトアップ男がいる
@Msnw7 尿道
@oimokunmononohu もう出来てるーー！！（庭に置いてある～～）
@Msnw7 散歩という名の深夜徘徊です
@Msnw7 こんばんは
@oimokunmononohu ウワッありがとうございます、めちゃくちゃ楽しみですね
@taicatgurezu ？
触った鍋が熱かったので水で冷やそうと思ったらお湯だった人「熱っ！！！！！熱っ！！！！？？？」
@vmai_o0vV 清涼飲料水オタクなので左下の奴がなんのフレーバーなのか気になります
@knosuke0371 ニコニコ談笑していても何の前触れもなく発狂して刃物を振り回しそうな印象は確かにある
@knosuke0371 余談ですが、以前ニコバーでフォロワーさんと「こうのすけはふに（妹）とかネット上だけでキチガイを演じている人とは訳が違いガチのサイコ野郎ですよね」という話で盛り上がりました
【初音ミク】スルメが歯と歯の間に詰まってもどかしい【オリジナルMV】
@doresuto ＿人人人人人人人人人人＿＞　 どれすとの兄貴ぃ　＜￣Y^Y^Y^Y^Y^Y^Y^Y^Y￣＿人人人人人人人人人人人人人＿＞　 生きておられたんですか　＜￣Y^Y^Y^Y^Y^Y^Y^Y^Y^Y^Y^Y￣
@BuMaki 川崎来いや死なすぞ！！！ってやつですよね！？工業地帯は好きですがあいにく関東は遠くて行けません、労働頑張ってください
@sz__x7 オタクなのでそんなハイカラなもんは持っていません
ヘアジャム（ヘアジャム）ヘアジャムじゃない（ヘアジャムじゃない）ヘアジャムじゃない（ヘアジャム）ヘアジャム（ヘアジャム）ヘアジャム（ヘアジャムじゃない）ヘアジャムじゃない（ヘアジャムじゃない）ヘアジャム（ヘアジャム）正解率70％以上。十分信頼できる結果です
@vmai_o0vV UCCはブラック以外飲みません。最近までエメマンを１日５，６缶飲んでいましたが糖分の摂り過ぎで体に悪い気がしてやめました。今はモンスターコーヒーを飲んでいます。よろしくお願いします
@vmai_o0vV コンビニなら大抵置いてあるしあまり苦くないしとても美味しいですよね！！！！！！！！！！フウウウウウウウウ！！！！！！！！！！
@pwq_02_ 場合によりますが、普段はUCCブラック一択です
@miyosann フルフルみたいな顔してるから無理だよ……
@miyosann シリーズ通して一度もやったことがない
@miyosann 買いません
@uni_uw カネキ君ですか！？
コーヒーショップに並んでなんかいられないぜ。厳選されたコーヒーにミルクをブレンドし、独自のエナジーブレンドをチャージ。今までのノウハウを駆使して作り上げたコーヒー・・・モンスターはいつだって本気だ。
@soccer123581 @maid2u @Ku0125 @ueeeexs04 43歳童貞ですがよく小動物みたいで可愛いって言われます。よろしくお願いします
@colnigusu ほざけ！！！！ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
@raru2marinan 195/98です
@aiaisiguma はっw（鼻で笑う）
@angel__than ガッハハハハピョｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗヌオッホッホッホッｗｗｗｗオビョビョビョｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
@tky_uia 溶接工場でT1000を迎え撃つときM79（残弾数1）を左手で構え、右手でハンドガンを下からゆっくり取り出しサーチモードを使う一連の動きも完璧に再現できます
ターミネーター2のショッピングモールでT800が箱からウィンチェスターM1887を取り出しジョンコナーに伏せるように指示してT1000めがけ発砲、自分の背中に被弾させてジョンを守り扉を叩き破りそこへ退避させて発砲しながら歩み寄り掴み合いになるまでの一連の動きを完璧に再現できます
@rio_nico ｵﾗｵﾗｵﾗｵﾗ！！やろうぜｵﾗｵﾗｵﾗｵﾗｵﾗｵ！！！！！！！！
@rio_nico ｳﾜｰｰｰ！！rio氏！全く気付きませんでした（今エゴサで出てきた）まだやってたら是非交換してください
@nazeutata どうせ「酢の物無理やからｗｗｗｗ俺ｗｗホンマ酢の物無理やからw酢の物無理やから…無理だっつってんだろ！！」「ごめん…怒った…？」「引っかかったー！ｗｗｗｗｗｗｗｗ怒ってないよ（ニコニコ）」「もう！馬鹿ー！＞＜」とかやってんだろ、死ぬべきだ……
@ryo_n87039 是非しましょう！
@nazeutata まぁなw女に困ることがあれば俺に言えやw
@hachuki0825 うわ～！？病んでいる人だすいませんすいませんです！！！！
@hachuki0825 あなたに見覚えがあります。ただ全く思い出せません
@nazeutata 僕のレベルになると自分の方が圧倒的優位にあるのに命乞いをします
@Matayan123 ありがとうございます！ありがとうございます！
いくらハロウィンだからって人の家に入ってきたら子供だろうと即通報します
@mgt_ 持ってないので代わりに踏むと怒って強くなる敵のまねいきますう゛お゛お゛お゛お゛お゛！！！＼ﾄﾞﾝﾄﾞﾝﾄﾞﾝﾄﾞﾝ／
@mgt_ キャプテンクルールみたいな顔しやがって
@7cha7 ドンキーコング2（SFC）でもやってろや！！！！！！！！！ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
@crazy__pozipozi ☝(´へεへ`*)☝ <お腹ポテニアンだ！お腹ポテニアンだ！お腹ポテニアンだ！
@7000tights ドンキーコング2（SFC）でもやってろや！！！！！！！！！ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
@ryo_n87039 え！？いいんですか！ヤッター！！！！
@HlTUJl まぁお幸せに（血の涙を流しつつ木槌を振りかぶる）
@snow__neco 死ぬまでが修学旅行ですよ
@HlTUJl ツイッターでゲットされたんですか！？
@jichanmk4 いくつになっても「先に行け、こいつは俺がやる」っていうシチュには胸が熱くなります
@_ku_ne 合コンしましょう
美味しいでおいしいって読むのよく考えると厨二じゃないか
@fn_qqqq ありがとうございます…！
@BROCKRY 一体今のにどれほどの時間を費やしたと思ってんだ！！！！！！！！！！！！
@BROCKRY ベルトを食べると！！！！！！！ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
@ni_o_n と、思うじゃん～！？ご安心下さい！売り上げ冊数に応じて僕にバックが入る類のシステムは一切ありません！興味はあるけどふに（妹）の懐を肥やすくらいなら重たい手枷をつけられて一生奴隷のように働かされた方が幾分マシ！ふに（妹）氏ね！！という方でも安心してお買い求め頂けます
@T_eIi ありがとうございます！！ってお～いちょっとマテ茶(^し^)
@okaka0126 一生のお願い
@ribis_ ありがとうございます！編集の方の一存でその位置ですが希望としては表紙一面を飾りたいです
@__mmks8 そこをなんとか熟読して下さい
@Tkt_Ktk ほっせ！！！男としての威厳をギリギリ保てるか否かの体型！！！！
歌ってみたの本11に僕のコラムを掲載して頂いております。良かったら書店でお買い求め下さい！！！！！！お願いします！！！！お買い求め下さい！！！！！！！ https://pic.twitter.com/IatEwjr7u0
@Tkt_Ktk うぷすべき
@messi_dayo ありがとう、良かったらお父さんにも見せてね
@Tkt_Ktk 本来ネタ歌ってみたは声質や歌唱力に難ありの人たちの最後の砦だったのに最近はイケメン層が進出してきて俺たちの立つ瀬がない
やったぜ！！！！！！！！たくさんのご視聴、多額の宣伝誠にありがとうございます！！！！！！！！！！！！！ 己の欲望のままに　リンちゃんなう！　歌いました http://nico.ms/sm24638776 #sm24638776
@takagic_menma51 お前は県下でも五本の指に数えられるほどの美食家である俺の舌を唸らせたんだ。もっと自信を持て、お前の技術（うで）なら、世界は遠くない。
@popuri_sister やぁ、是非またイベントに来てくださいね
@simcatcy お前こそ虫みたいな声しやがってからに
@allar_siva ありがとうございます！ありがとうございます！
僕に対しては特に敬称を使う必要はないので、気軽に大便と呼んでください
@tomatowt 歌わせて頂きありがとうございます！！大変ありがたいことに１位になりましたが、ひとえに原曲の知名度と人気のおかげです！誠にありがとうございました！！
@mik_33 俺の知ってるだけでも５人はいる
@mik_33 おるどさんの真似いきます「あだ名つけます。５０分まで。…烏骨鶏。放火魔。……飽きた。全員死ね」
@BiribiriStockin ?
@maid2u カラオケ時のあなたを彷彿とさせるhttp://www.nicovideo.jp/watch/sm22783410
@RoCKTIME18 わかる
それな！！！！！！マジで共感ピィイイヤッ！！！！！！！
@mrlive2 お義父さん…リンちゃんを下さい…＼リンはやらん／＼リンはやらん／
@hanimitu5250 ＼⍩⃝／ｴｩﾝｪｩｩｩｩｩﾝwwwwwwwwwwwwwwwwwwwwwwwｴｩﾝｴｩﾝwwwｴｩﾝwwwwwwｴｩﾝwwww
@To_Omou_Jannn ナイス！が0件でじわる
@__Ragi___2nd こ、ここは電池野郎とお茶野郎とともにthe GazettEとDir en greyをやったとこですね！？バンドをやっていらっしゃるのですか？
@sz__x7 ＿人人人人＿＞　 粗塩　＜￣Y^Y^Y￣
@10persent それはわざとやっています、あざといですね
ヘアスタイルがオシャレな人のくしゃみ「ギャ…ギャ…ギャツビー！！！」
@pqdbaaq う…そ…でしょ…もうこんな時間！？ちょっと相対性理論仕事しすぎ～！汗かいちゃう～！せっかく髪巻いてきたのに～！痛っ！っつー…もう！神様ぁ～！
@Sakusaku_0818 ♯CC0000
月が赤い… https://pic.twitter.com/JBq38UAJHN
ちんちん！！！
@amnos6345 ありがとうございます！！感謝してもしきれません！
@chome_G 財布を忘れたちょめぢの真似いきます「………ないっ……」
@takagic_menma51 業界用語（飲食業界）を使うな
一位ヨッシャ～～～～～～！！！！！！！！ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗウッヒョ～～～～～！！！！！！ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ 己の欲望のままに　リンちゃんなう！　歌いました http://nico.ms/sm24638776 #sm24638776
@siondaahon ガチ1on1の戦績は最近１０回で見たら90%を超えた！！！！！！！！！！ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
@ukyo532 チベット高原
@ririannnnn ロック・リーです
@requiem0310 めっちゃわかります・・・
@yokoyama0326 人がワンピースの話してる時にブリーチのキャラを出してくるっていうボケやめて下さい
@ririannnnn １３歳→１６歳です。ロック・リーはぶっちゃけキモいです
@Suihanjyaaaa 我愛羅かな？
@akr10_23 自来也と僅差だけどカンクロウかな（変な武器を使うキャラが好きなので）
NARUTOで一番好きなセリフは穢土転生で出てきた初代・二代目と三代目の会話中に大蛇丸が放った「年寄りの寄り合い話はその辺にして、そろそろ始めませんか？」です
@sarayanao ありがとうございます！実際のところはあまりにも早すぎて舌が回らず、苦痛に歪んだ表情で歌いました。
@syotasukisuki いろいろ大変だとは思いますが、頑張ってください。いつか対峙した際にはリアル大乱闘と洒落込みたいですね
@fn_qqqq 極度の緊張を強いられるイベントがあったしスマブラで負けた時のストレスからタバコの本数が増えて掠れてしまった
@yamada104_ ヤッターーーーーーーーーーーーー！！！！！！！！！！！！！！！！！！！！！ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
@Harutarosan_25 え！？ぽぷり（妹）さんですか！？歌い手厨を束ねるあなたが突然の失踪を遂げ、ニコニコは暗雲に包まれました。一部では死亡説まで流れていたのに。うわー！お久しぶりですね！？お元気でしたか！？
@Harutarosan_25 もちろん覚えてるよ https://pic.twitter.com/ZbJHA2sgXn
@omenkozou おやおや、てっきり出し抜けると思っていましたが、こんなところにとんだ名探偵がいたものです…（特に理由はありません）
@tamama5 ありがとうございます！なんか最近おかしいんですよね！！ニコニコとツイッターの連携もうまくいかないし、これはもしかしてアカウントをジャックされている可能性が！？
@BiribiriStockin いつもありがとう
@kikuchi_lios そんな奴は知らん
【動画】　己の欲望のままに　リンちゃんなう！　歌いました http://nico.ms/sm24638776 　を　投稿しました。　#sm24638776
無作為に動画を投稿するぜ！！！！
@miidaragomimusi 流石にそれはありません。凹んだドラム缶には興奮します
@syotasukisuki そう簡単にはやめられないのじゃ・・・
一日中エロいことしか考えていない
@0220kajo この前炎カラで歌いました（歌唱後、袋叩きに遭いました）
@__npnp__ そのような世代の方が！？ありがとうございます！！
@akr10_23 多分買わない（フロンティアをかじった程度なので）
壊れた@funiimoutoなんてさ…息を止めて…ほどけない…もう…ほどけないよ…真実さえ…freeze…
@natsumikannats2 ＿人人人人人人人人人人人人＿＞　 お前は長野の何なんだ　＜￣Y^Y^Y^Y^Y^Y^Y^Y^Y^Y^Y￣
@3c_bb ロンドンから北へ130kmあまり。中世の名残が未だ色濃く根付いている貴重な都市です
@uzi256 さすがの愛媛も長野の高原の美しさの前では霞んでしまいます
@terupetako 長野県です
長野は首都
@7000tights いよいよ台風だな
@f_maaaaayu アルバムを持っています
@m_y_f_ ＿人人人人人人人＿＞　 こんにちは　＜￣Y^Y^Y^Y^Y^Y￣
@f_maaaaayu 知ってますよ。とても好きです
＿人人人人人＿  ＞ フォロバ？＜   ￣Y^Y^Y^Y^Y  　 _n  　( ｜　 ハ_ハ  　 ＼＼ ( ‘-^ )　　 ＼￣￣　 )　　　 ７　　/＿人人人人__＞お断りだ＜￣Y^Y^Y^Y￣　ハ_ハ（ ‘-^ )　　n￣　　 ＼　( E)
@syotasukisuki いや、最初から全くワリオと関係ないものにしようと思っていたら先に送られてきたのが全くワリオと関係ないものだったので負けました
@syotasukisuki yo! stand up please！開始早々のhigh　ヤバメのヤクをキメたならhold  on 片っ端からカモるぜwaller sex!sex!sex!ぼやけるvisionうつろなdance hall い
@syotasukisuki なるほど…手厳しい…だが今度はこちらの番ですよ
@syotasukisuki ワリオラップ対決しましょう（オリジナル）そちらからどうぞ
@24128true 自分ですら忘れていたネタをありがとう
@siondaahon お前が欲しいのはこれだろ？（懐からスマッシュボールを取り出す）
@MetaPaniRock 生まれて初めてだよ（無言でE・本田を送りつけられたことが）
@C1xNA 生まれてきて下さりありがとうございます！生まれてきて下さりありがとうございます！
あけましておめでとうございます。今年もよろしくお願いします。
@O_7oM あれ、え、え！いや！いや！一個間違えた！レポートしてない！レポートしてない！はずれて！はずれて！（？）いや！無理！待って！ウワァアアアアアア！！！！！！！
@kosameimouto 一回でメガマックを三つ食べる大食漢なので心配には及びません！お父さんにすこぶる元気だとお伝え下さい！
@kosameimouto はい
@hght_8 ありがとうございます！僕こういう写真好きなんですよ～あと風景画の中に女の子が一人いる感じの絵（伝われ）
@Msnw7 輩～YAKARA～
@yuricheeel あれ一体なんなんだろうな
@kktgdv 窓周辺の守りを固めています
@hght_8 美しい…下さい
@syotasukisuki 1オン1でもイケメンキャラ使ってくる人にはガンガン上アピールしてます
「ヨッシャ～～～～ｗｗｗｗｗマスターボールきたｗｗｗｗｗｗｗｗ勝つるｗｗｗｗｗｗｗｗ」＼パカッ／「トッサキーンｗｗｗｗトッサキンwトッサキンwトッサーキーンｗｗｗｗ」「　」
僕が弱みを握っている人が僕が弱みを握られている人の弱みを握っている
@sugar_sugar714 ありがとうありがとう！！
@sugar_sugar714 アイテムなしにしてくれ！！！ｗｗｗｗ
@sugar_sugar714 私の無線環境は地に落ちているため、そう見えるかも知れませんがそこにいます。部屋を作ってください
@ryo_n87039 そこでワリオですよ
@sugar_sugar714 入りました
@Oorcrewwww おめでとうございます！それを起爆剤に告訴し、表社会から葬り去ってやる！！
@sugar_sugar714 5129 2766 0395です！
@taamaaoo とても行きたいです！？！？！（全額払うので）
@sugar_sugar714 オッケ～
そのツイート！本当にお気に入りなのか！？
@7000tights 「どすこい」って入れたかったんですよ…語呂が…いいので…
@7000tights 町田の誇りだよお前は（メチャメチャキョドってた）
@7000tights @kanikaniranchi あ～、この感じで出るのかな？
@kanikaniranchi @7000tights そういうことかよ！？！？インタビュー的なあれじゃなくて
@7000tights 早く出て
@7000tights 半信半疑のままテレビをつけます、出てくるまで絶対に信用しないからな
@7000tights ファ！？
あ
@syotasukisuki 👋👵👋ワ、ワ、ワッー👋👵👋👋👵👋ワ、ワ、ワッー👋👵👋👋👵👋ワ、ワ、ワッー👋👵👋👋👵👋ワ、ワ、ワッー👋👵👋👋👵👋ワ、ワ、ワッー👋👵👋👋👵👋ワ、ワ、ワッー👋👵👋👋👵👋ワ、ワ、ワ
@7cha7 ありがとうございます！
今日はバウンドした球が顔に向かってくるブーメランスネイクを使ってラケットに穴を開け、相手の五感を奪う方法が108式ある跡部さんの誕生日なのか
@chome_G お前だってその可愛いアイコンを余所に童貞じゃねーか
@r1y7o cute…
@_ku_ne なんだそれゎ（名前から想像はつくが）
私の名前は井上茂樹70歳、どこにでもいる普通の女子高生…の・は・ず・だったんだけど～！！ある日、市の役員とかなんとか言う怖いおじさん達がやってきて年金の不正受給だとかで糾弾されちゃった！私、これからどうなっちゃうの～～～～！！？＞＜
@_ku_ne なんか滅茶苦茶笑ってしまったのでかなり疲れています
@HlTUJl えぇ、まぁ。（口の前で両手の指を組む）
／￣＼   　 |＾o＾|　 ∩　 ＼＿／ 　 ∩ | ＼＿|　|＿／  | ＼＿　　　＿／ 　　 |　　 | 　　 |　　 |／⌒＼ 　／　 (∪)＿／⌒＼⊃ （　 ／ 　＼＼ 　　∪
@desunyawa8 とても似ていますよ！設定上既にお亡くなりになられている方の役ですが(^-^;(^-^;(^-^;
@N_music27 わかんねぇ、わかんねぇよ
@desunyawa8 余談ですがindigo la Endの新曲のMVに出てくる人がデスエイトさんに死ぬほど激似なので要チェケラです
@N_music27 何度読み返しても意味が分かりませんでした
@nekoooooooota あぁ！あのテニスを通して五感を奪う人ね
やめて！私を断罪する気でしょう！六法全書みたいに！六法全書みたいに！
@23moti フォッサマグナ
@_uminiiruyo_ ありがとうございます！w
@pattyooo822 @miyosann 俺も地面！
@miyosann お前ら何フェチなんだよ！？
@buritukuri 上条さんが心臓フォッサ（マグナ）を無効化するところはかなり胸熱でしたが所詮アニメ限定キャラですよね、ハァハァ姫神カワユスハァハァｗｗｗｗｗｗｗｗ
@buritukuri 僕も歴史的なものよりそっちが出てきます
ユースケ・アルスマグナ
@simcatcy こんな時間にどういうつもりだ！まさか今日も今日とて酔いつぶれてるんじゃなかろうな！
オカマが男装して女子トイレに入る（性別の交錯）
@mssheep123 あぁ～この曲知ってました、なんか適当に借りたアルバムの中に入っていたかなんかで聞き覚えがあります！かなり難易度高いとお見受けしましたが機会があれば是非
@ahahahahai これ以上無益な殺戮を繰り返したとて世に平穏が訪れる筈がない、と気づく効果音
ん、火器付機甲鎧（インセクトアーマー）外そっ
@ryo_n87039 えぇ！？あんな人類の怒りを体現したような人が！？こっそり見せて下さい！
@HlTUJl 我々の業界ではやむを得ずお縄になることを殉職としていますからね
@ChineMikuKaeuta 野暮なことを聞くんじゃない！想像出来る原因が二つ挙げられると思いますが、最悪なほうです。
@necouzu 5129 2766 0395お願いします
@colnigusu 竜劾さん…あなたが引退することになろうとは全く予想していませんでした。思えば僕たちは4年来のつき合いでしたのでニコニコの枠に囚われず時には互いの悩みを打ち明け合い、時には喜びを分かち合い、時間を共有してきましたね。本当に残念です。あなたのことは一生忘れません
@necouzu 今出来ないんですけど、せめてフレコの交換だけでもして頂きたいです
@mssheep123 聴いたことないです。聴いてみたいです
@fn_qqqq いいえどちらの状況も共にとにかく何か行動をしてないと平常心を保てなかったので、その時に目の前にあるものを喰らうことでそれに代えていました。あと禁煙でしたので
@kanikaniranchi 誰が見ても「何があったんだよ！？」と思う人（これは右京が初めて見せたデレのシーンですよね。よく覚えています。人生で初めてアニメキャラに恋をした瞬間でした）
@kanikaniranchi いや、右京です
@kanikaniranchi 右京はおらんのか
@kunimiyabi https://pic.twitter.com/qLbjwt7H1B
@taru__chan SAMURAI
@nachikyan610 Filth in the Beauty
コンビニのレジに並んでいたら突然隣のレジが機能し始め、そのタイミングで来た他の客に先を越されてしまった時の俺の顔 https://pic.twitter.com/zbfAVjo3J2
@sayaka_xux いいよいいよ。誰だって体調の良い悪いはあるし、次結果出してくれればいいから
@4hyuri14 医学に心得がある人の前でやると概ね結核の可能性を示唆してきます
@__818if ありがたい…
【声に出して読んで下さい】っ！っ！っ！ッッッ！！っ！！！！！！！！！！！ッッ！！っ！！！！！！ッッッ！！っ！！っ！ッッッ！！っ！！！！！！！！！！！ッッ！！っ！！！！！！ッッッ！！！ッッッ！ッ！ッ！！！！！！ッッ！！っ！！！！！！ッッッ！！！ッッッ！ッ！ッ！！！ッッ！ッ！ッ！
@reflet_kl ありがとうございます。これを自戒にして今後の性事情に役立てたいと思います
@Inter_Fort （うわー！やばいぞこの人！こんな狂人が堂々と通りを練り歩いているなんて！考えただけで外に出られないぞ！）
@harimarimon 二代目は破天荒で世間知らずだからダメ
@Inter_Fort nightmareでも見たんですか？文に起こしたら面白いけど端から見たら単なるサイコパスの所業ですよ
@pika736 高っけぇ！？（自分が掲載されているのに全く知らなかった）
@pika736 いくらですか？
@sz__x7 今年で43ですが構いませんか
ヘイパス！ヘイパス！ヘイヘイ！ヘイパス！ヘイヘイ！ヘイ…余を財閥の御曹司と知っての狼藉か！！！父上に言いつけてそち等の家族共々打ち首の刑に処してやる！！！！…ナイッシュー…
@timoki4 残念ながら僕は日頃より耐え難い腐卵臭がする言われているので、あなたの予想は外れです。単なる杞憂に過ぎないので安心して下さい
@ryo_n87039 タイマンしましょう
@Cala_liz 対戦ありがとうございます！！！
@Cala_liz ここからはアイテムなしです
@Cala_liz いえいえ、こちらこそフレンドが増えるのはありがたいことです！とっとと部屋を作りやがれ！！！！！！
@Cala_liz 5129 2766 0395お願いします
@Cala_liz いいよ
@Dir_XxX_Toriko 首都限定だったらロンドンです（街並みが好きなので）一番好きな地域はアメリカの西部（乾燥した地域）です
イベントで本当に殴っても怒られない歌い手はふに（妹）だけ
ラーメン！僕イケメン！つけ麺！
@7000tights 貴様Nagoya来んかったじゃろ！w
@7000tights 町田は怖い
@matsuda54 保存しました
@daimaomp あなたＵＥＮＯさんにしか心を開かないじゃないっすか！w
@_x_rasp_x_ 過剰な防衛反応が脊髄反射で無意識に皮膚を硬化させ針が通らない。しかしいくら人知を超越した猛者であっても内面を鍛えることは難しく、早期発見では治癒率95％を超える小さな病でもやむなく御陀仏になられました
@syotasukisuki 行けたら行きます（行けないパターン）
注射をする看護婦さん「ちょっとミギュルッヌッヌゥアイングググギァッムンヌっとしますよ～」
@Ponpokorin_1234 感受性の弱い方なんですかね…
@maid2u 2時間くらい。デニーズでピークを迎えた
@ioveutaite ありがとうございます。あれほど投稿すると豪語しておりましたが仕事が休めず。今週にはなんとか
@maid2u 会話が続きません
@maid2u 彼女と会話した時間を累計すると15秒に満たないと思います
@ripaka0528 お！wありがとうございます！w
@sinamonchan ないが
@mokyu_t ＿人人人人人人人人＿＞　 まだ見てない　＜￣Y^Y^Y^Y^Y^Y^Y￣
え！？ちょっと待って！ええと…タメやん！？タメタメ！！タメやん！？それタメやん！？タメタメ！！マジか！タメやん！？うわー！タメタメ！！タメやんそれ！！タメタメ！！タメかー！！タメタメ！！
@buritukuri 包み込んだら勝ち、っていうルールの基でなりたってるだけで、実戦においてはどう転んでも紙じゃ戦力にならないってことですね
@takagic_menma51 なるほどな、俺は昔から甘いものがダメだったので賭けをするまでもなく無償で提供していたよ
@takagic_menma51 負けた方はどうなったのか
@horakiris バカ…遅いよ…ロス行きのチケット払い戻してこなきゃいけないじゃない！（嬉し涙）
@harimarimon お前とは一度会ったことがあるな。どこだったか…そうだ、ベガスの賭場だ。あの時は確か…いいや、勝ったのは俺だ
何かを賭けるわけでもなく、純粋に楽しむためにジャンケンしてる人って見たことないや
@kasutaroron 汚っねぇ字だな！！！！！そのときは是非、伏見でお願いしますね
@mizukiswitch08 「バンドなんてもう懲り懲りだ！」「ヘイビールお待ち！」（空気を読まない店員）
@kasutaroron ウワアァア！！ありがとうございます！とても嬉しいです！！！私たち、歳をとりましたね
@kasisensi2 ッヘッヘッヘ！（沼地から現れると左右に振れながらこちらに近づいてくる）
@sugar_sugar714 夜中ならできます
@teruna_teruma 何言ってんだ　9月だろ
@DENRYUNAIT おめでとう
@LpQ おめでとう
夏だ！夏が来た！！夏だーーーーーー！！！！！！！！！！！！！！！ミーンミンミンミー！！！ミーンミンミンミー！！！ミーンミンミンミー！！！ミーンミンミンミー！！！ミーンミンミンミー！！！ミーンミンミンミー！！！ミーンミンミンミー！！！ミーンミンミンミー！！！ミーンミンミンミー！！！
@Ponpokorin_1234 三重県出身なのに！！！！ｗｗｗｗ奥二重！！！！！ｗｗｗｗｗｗｗｗｗｗｗｗ
@a__nl 尻の穴さん。おめでとうございます
@SLH_COF 指紋から住所を割り出し、夜な夜な電信柱の陰からその方の部屋を見つめたい…
@tlch1 （トップスピードに至っていたため減速が間に合わず勢いよくガードレールを突き破り崖から転落していく）
@messi_dayo あそこは戦場。幾多の戦友が今日も果てていく
心のより所がTwitterしかない
@desunyawa8 本人は執拗に否定してたけど、あの目は女を知っている目だった
@ryo_n87039 はい
お父さんが非童貞だった…
@simcatcy 好きだから…気になっちゃうんだよ…
