自動評価,ジドウヒョウカ
ニューラルネットライブラリ,ニューラルネットライブラリ
最終的,サイシュウテキ
何回,ナンカイ
囲碁解法,イゴカイホウ
木探索,キタンサク
既存法,キソンホウ
%勝利,パーセントショウリ
格差感,カクサカン
NAISTスプリング,ナイストスプリング
スプリングセミナー,スプリングセミナー
プチ研究,プチケンキュウ
研究体験,ケンキュウタイケン
数席,スウセキ
6日間,ムイカカン
abouta,アバウトアール
ニューラル翻訳,ニューラルホンヤク
テキトー,テキトー
トーさ,トーサ
関西MT,カンサイエムティー
MT勉強会,エムティーベンキョウカイ
音響キーワード,オンキョウキーワード
キーワードブック,キーワードブック
多言語音声,タゲンゴオンセイ
音声翻訳,オンセイホンヤク
句構造解析,クコウゾウカイセキ
解析木,カイセキキ
外的評価,ガイテキヒョウカ
構文解析結果,コウブンカイセキケッカ
ところ翻訳,トコロホンヤク
翻訳以外,ホンヤクイガイ
説明文,セツメイブン
プログラミング初心者,プログラミングショシンシャ
最近Python,サイキンパイソン
論文タイトル,ロンブンタイトル
研究者,ケンキュウシャ
一回,イチカイ
統計的機械翻訳,トウケイテキキカイホンヤク
指導教員,シドウキョウイン
NAISTスプリング,ナイストスプリング
スプリングセミナー,スプリングセミナー
随時参加者募集,ズイジサンカシャボシュウ
参加者募集中,サンカシャボシュウチュウ
応募者,オウボシャ
特定分野,トクテイブンヤ
特定分野,トクテイブンヤ
一般分野,イッパンブンヤ
マルチモーダル,マルチモーダル
モーダルインタラクション,モーダルインタラクション
対話処理,タイワショリ
NAIST知能,ナイストチノウ
知能コミュニケーション,チノウコミュニケーション
コミュニケーション研究室,コミュニケーションケンキュウシツ
共同研究,キョウドウケンキュウ
InterSpeech,インテルスピーチ
予稿集,ヨコウシュウ
個後,コゴ
中村研,ナカムラケン
知識発見,チシキハッケン
音声認識システム,オンセイニンシキシステム
機械学習入門,キカイガクシュウニュウモン
脳インターフェイス,ノウインターフェイス
スプリングセミナー,スプリングセミナー
2日間,フツカカン
間研究室,カンケンキュウシツ
研究テーマ,ケンキュウテーマ
受講生,ジュコウセイ
是非NAIST,ゼヒナイスト
NAIST中村,ナイストナカムラ
中村研,ナカムラケン
Ustream配信,ユーストリームハイシン
分程度,フンテイド
Ustream配信,ユーストリームハイシン
年分,ネンブン
招待講演,ショウタイコウエン
男女比,ダンジョヒ
招待講演,ショウタイコウエン
講演等,コウエントウ
男女比,ダンジョヒ
改善策,カイゼンサク
招待講演,ショウタイコウエン
研究者,ケンキュウシャ
改善策,カイゼンサク
男女比,ダンジョヒ
招待講演,ショウタイコウエン
中村研,ナカムラケン
受賞ラッシュ,ジュショウラッシュ
それぞれ学生,ソレゾレガクセイ
学生発表,ガクセイハッピョウ
発表賞,ハッピョウショウ
発表賞,ハッピョウショウ
中村先生,ナカムラセンセイ
情報科学研究科,ジョウホウカガクケンキュウカ
知能コミュニケーション,チノウコミュニケーション
コミュニケーション研究室,コミュニケーションケンキュウシツ
研究室だらけ,ケンキュウシツダラケ
だらけw,ダラケワット
対訳データ,タイヤクデータ
分野適応,ブンヤテキオウ
音響モデル,オンキョウモデル
ニューラル翻訳,ニューラルホンヤク
翻訳システム,ホンヤクシステム
分野適応,ブンヤテキオウ
効果自体,コウカジタイ
学習率,ガクシュウリツ
データ数,データスウ
ベトナム語タスク,ベトナムゴタスク
国際機械翻訳,コクサイキカイホンヤク
機械翻訳コンペ,キカイホンヤクコンペ
英独,エイドク
独翻訳,ドクホンヤク
スタンフォード大学,スタンフォードダイガク
翻訳システム,ホンヤクシステム
位チーム,イチーム
ニューラル翻訳,ニューラルホンヤク
論文誌,ロンブンシ
意味解析,イミカイセキ
検索クエリ,ケンサククエリ
潜在的,センザイテキ
意味解析,イミカイセキ
言い換え表現,イイカエヒョウゲン
音声翻訳,オンセイホンヤク
国際ワークショップ,コクサイワークショップ
中村研,ナカムラケン
自己学習,ジコガクシュウ
強調翻訳,キョウチョウホンヤク
構文木職人,コウブンギショクニン
構文木職人,コウブンギショクニン
数年,スウネン
年前,ネンマエ
前さん,マエサン
サーベイ論文,サーベイロンブン
最終版,サイシュウバン
音声認識器,オンセイニンシキキ
年前,ネンマエ
年前,ネンマエ
廃藩,ハイハン
藩制度,ハンセイド
年前,ネンマエ
認識器,ニンシキキ
翻訳精度,ホンヤクセイド
並列句,ヘイレツク
言語処理,ゲンゴショリ
トップ論文,トップロンブン
論文誌,ロンブンシ
検索クエリ,ケンサククエリ
単語列,タンゴレツ
意味解析,イミカイセキ
潜在的,センザイテキ
意味解析,イミカイセキ
解析精度,カイセキセイド
近日公開,キンジツコウカイ
言語処理,ゲンゴショリ
ニューラルネット入門,ニューラルネットニュウモン
言語処理,ゲンゴショリ
必見資料,ヒッケンシリョウ
著者紹介,チョシャショウカイ
ラーメン関係,ラーメンカンケイ
中村研,ナカムラケン
さ爆発,サバクハツ
正規化処理,セイキカショリ
byyours,ビーワイユアーズ
yourself,ユアーズエルフ
elfand,エルフアンド
tothe,トゥザ
京都大学,キョウトダイガク
学習法,ガクシュウホウ
実用的,ジツヨウテキ
共著者,キョウチョシャ
トップ国際,トップコクサイ
国際会議,コクサイカイギ
中村研,ナカムラケン
ゼミ室,ゼミシツ
言語横断,ゲンゴオウダン
横断質問,オウダンシツモン
質問応答,シツモンオウトウ
翻訳結果,ホンヤクケッカ
翻訳結果,ホンヤクケッカ
質問応答,シツモンオウトウ
評価尺度,ヒョウカシャクド
最適化,サイテキカ
ニューラルネットモデル,ニューラルネットモデル
クラスソフトマックス,クラスソフトマックス
ソフトマックス関数,ソフトマックスカンスウ
値分類,チブンルイ
高速化,コウソクカ
ポスドク１,ポスドクイチ
１名,イチメイ
脳波情報,ノウハジョウホウ
InterSpeech,インテルスピーチ
InterSpeech,インテルスピーチ
Twitter上,ツイッタージョウ
InterSpeech,インテルスピーチ
肉伝導,ニクデンドウ
伝導マイク,デンドウマイク
可聴つぶやき,カチョウツブヤキ
つぶやき変換,ツブヤキヘンカン
空気伝導,クウキデンドウ
伝導マイク,デンドウマイク
InterSpeech,インテルスピーチ
人がどこ,ジンガドコ
ポーズ推定,ポーズスイテイ
係り受け解析,カカリウケカイセキ
係り受け木,カカリウケキ
両方付与,リョウホウフヨ
InterSpeech,インテルスピーチ
母語話者,ボゴワシャ
英語音声,エイゴオンセイ
きれいな発音,キレイナハツオン
音声合成器,オンセイゴウセイキ
音韻情報,オンインジョウホウ
部分的補正,ブブンテキホセイ
言語学習,ゲンゴガクシュウ
InterSpeech,インテルスピーチ
差分スペクトラム,サブンスペクトラム
スペクトラム補正,スペクトラムホセイ
歌声変換,ウタゴエヘンカン
系列内,ケイレツナイ
内変動,ナイヘンドウ
変換性能,ヘンカンセイノウ
InterSpeech,インテルスピーチ
音声翻訳,オンセイホンヤク
線形回帰隠れ,センケイカイキカクレ
隠れセミ,カクレセミ
セミマルコフモデル,セミマルコフモデル
InterSpeech,インテルスピーチ
調音機構,チョウオンキコウ
直感的,チョッカンテキ
音声変換,オンセイヘンカン
変換技術,ヘンカンギジュツ
差分スペクトル,サブンスペクトル
スペクトル補正,スペクトルホセイ
変換法,ヘンカンホウ
直感的,チョッカンテキ
音声変換,オンセイヘンカン
変換技術,ヘンカンギジュツ
InterSpeech,インテルスピーチ
同時音声,ドウジオンセイ
音声翻訳,オンセイホンヤク
人手評価,ヒトデヒョウカ
ランキング学習,ランキングガクシュウ
重要度,ジュウヨウド
定量化,テイリョウカ
InterSpeech,インテルスピーチ
の歴史的,ニホンコウクウノレキシテキ
音響学会,オンキョウガッカイ
宣伝効果,センデンコウカ
効果抜群,コウカバツグン
フォント周り,フォントマワリ
教育システム情報,キョウイクシステムジョウホウ
システム情報学会,システムジョウホウガッカイ
学会全国大会,ガッカイゼンコクタイカイ
疑似コード,ギジコード
自動生成,ジドウセイセイ
プログラミング初心者,プログラミングショシンシャ
中村研,ナカムラケン
戸田先生,トダセンセイ
戸田先生,トダセンセイ
言語処理,ゲンゴショリ
荒牧先生,アラマキセンセイ
ソーシャルコンピューティング,ソーシャルコンピューティング
コンピューティング研究室,コンピューティングケンキュウシツ
中村研,ナカムラケン
分野別,ブンヤベツ
言語処理,ゲンゴショリ
学術情報,ガクジュツジョウホウ
情報メディア,ジョウホウメディア
メディアセンター,メディアセンター
センターセミナー,センターセミナー
ニューラルMT,ニューラルエムティー
統計モデル,トウケイモデル
IBMモデル,アイビーエムモデル
モデル以来,モデルイライ
完全統計,カンゼントウケイ
統計モデル,トウケイモデル
統計寄り,トウケイヨリ
学習途中,ガクシュウトチュウ
foreign,フェードアウトレイン
reignginseng,レインジンセン
end構文,エンドコウブン
億円,オクエン
億円,オクエン
インターン生,インターンセイ
期間中,キカンチュウ
対話システム,タイワシステム
４日,ヨンニチ
インターン生,インターンセイ
インターン生,インターンセイ
4日間,ヨッカカン
日本国,ニッポンコク
5つ星,イツツボシ
国立大学院,コクリツダイガクイン
ツールトラック,ツールトラック
ウェブデモ,ウェブデモ
近日中,キンジツチュウ
今回メール,コンカイメール
共著者,キョウチョシャ
NLP東京,エヌエルピートウキョウ
thecnn,ザシーエヌエヌ
cnnlibrary,シーエヌエヌライブラリー
翻訳グループ,ホンヤクグループ
現在NICT,ゲンザイエヌアイシーティ
翻訳グループ,ホンヤクグループ
アクセント記号,アクセントキゴウ
研究機関,ケンキュウキカン
言語処理,ゲンゴショリ
処理トップ,ショリトップ
トップ会議,トップカイギ
会議論文,カイギロンブン
2015年版,ニセンジュウゴネンバン
2.0首都大,ニーテンゼロシュトダイ
G社,ギガシャ
decoderモデル,デコーダモデル
注意型,チュウイガタ
ビーム探索,ビームタンサク
ニューラルネット翻訳,ニューラルネットホンヤク
翻訳モデル,ホンヤクモデル
学習法,ガクシュウホウ
翻訳精度,ホンヤクセイド
ACL論文,エーシーエルロンブン
ifX,イフエックス
指示文,シジブン
意味表現,イミヒョウゲン
万文,マンブン
文程度,ブンテイド
ベースライン,ベースライン
ライン作り,ラインヅクリ
ACL論文,エーシーエルロンブン
マニアック賞,マニアックショウ
通信ネットワーク,ツウシンネットワーク
ネットワーク上,ネットワークジョウ
パケット解析,パケットカイセキ
言語判定,ゲンゴハンテイ
判定器,ハンテイキ
ACL論文,エーシーエルロンブン
構造化,コウゾウカ
化学習,カガクシュウ
係り受け解析,カカリウケカイセキ
解析器,カイセキキ
最高精度,サイコウセイド
提案手法,テイアンシュホウ
ハイパーパラメータ,ハイパーパラメータ
パラメータ調整,パラメータチョウセイ
めちゃくちゃ大事,メチャクチャダイジ
ACL論文,エーシーエルロンブン
知識ベース,チシキベース
意味解析,イミカイセキ
カバー率,カバーリツ
質問応答,シツモンオウトウ
ウェブ上,ウェブジョウ
データ源,データゲン
ACL終了,エーシーエルシュウリョウ
それ以上,ソレイジョウ
研究者,ケンキュウシャ
深層学習,シンソウガクシュウ
研究者,ケンキュウシャ
翻訳結果,ホンヤクケッカ
InterSpeech,インテルスピーチ
音声関係,オンセイカンケイ
国際会議,コクサイカイギ
言語処理,ゲンゴショリ
自動評価,ジドウヒョウカ
評価尺度,ヒョウカシャクド
翻訳結果,ホンヤクケッカ
行為自体,コウイジタイ
宣伝みたい,センデンミタイ
EXILEみたい,エグザイルミタイ
押し付け,オシヅケ
総務省公式アカウント,ソウムショウコウシキアカウント
日本ヤバイ,ニッポンヤバイ
国際会議,コクサイカイギ
会議Inter,カイギインテル
InterSpeech,インテルスピーチ
中村研,ナカムラケン
研関係者,ケンカンケイシャ
小林くん,コバヤシクン
辻岡くん,ツジオカクン
Oliverくん,オリバークン
早期発見,ソウキハッケン
臨床腫瘍学,リンショウシュヨウガク
有力誌,ユウリョクシ
早期発見,ソウキハッケン
生存率,セイゾンリツ
前東工大,マエトウコウダイ
お茶大,オチャダイ
合同勉強会,ゴウドウベンキョウカイ
３者,サンシャ
コメント等,コメントトウ
ニューラル言語モデル,ニューラルゲンゴモデル
n-gram言語モデル,エヌグラムゲンゴモデル
定式化,テイシキカ
言語処理,ゲンゴショリ
機械学習モデル,キカイガクシュウモデル
夏恒例,ナツコウレイ
三つ葉畑,ミツバハタケ
マシンパワー,マシンパワー
あと一,アトイチ
一ヶ月,イチカゲツ
松本研,マツモトケン
中村研,ナカムラケン
採択率,サイタクリツ
基本投稿,キホントウコウ
投稿数,トウコウスウ
採択率,サイタクリツ
問題じゃなくて,モンダイジャナクテ
じゃなくて母数,ジャナクテボスウ
MT勉強会,エムティーベンキョウカイ
言語関係,ゲンゴカンケイ
人がたくさん,ジンガタクサン
ピッツバーグ周り,ピッツバーグマワリ
言語技術,ゲンゴギジュツ
技術研究所,ギジュツケンキュウジョ
研究界隈,ケンキュウカイワイ
構文情報,コウブンジョウホウ
構文情報,コウブンジョウホウ
ニューラルネットモデル,ニューラルネットモデル
ルール選択,ルールセンタク
でっていうジョーク,デッテイウジョーク
最終的,サイシュウテキ
IT会社,アイティーカイシャ
会社面接,カイシャメンセツ
面接官,メンセツカン
人工知能学会全国大会,ジンコウチノウガッカイゼンコクタイカイ
研究者,ケンキュウシャ
女性研究,ジョセイケンキュウ
研究者,ケンキュウシャ
衝突注意,ショウトツチュウイ
自然言語処理研究会,シゼンゲンゴショリケンキュウカイ
音声言語処理,オンセイゲンゴショリ
処理研究会,ショリケンキュウカイ
学生奨励賞,ガクセイショウレイショウ
査読締切,サドクシメキリ
本5月21日,ホンゴガツニジュウイチニチ
本6月1日,ホンロクガツツイタチ
本6月2日,ホンロクガツフツカ
Rep,ラウンドイーピー
epL4,イーピーエルフォー
L4NLP,エルフォーエヌエルピー
学術論文,ガクジュツロンブン
オープンアクセス運動,オープンアクセスウンドウ
出版モデル,シュッパンモデル
有料会員,ユウリョウカイイン
会員登録,カイイントウロク
失敗歴,シッパイレキ
歴書,レキショ
研究費,ケンキュウヒ
質問応答,シツモンオウトウ
構文解析結果,コウブンカイセキケッカ
部品関数,ブヒンカンスウ
質問ごと,シツモンゴト
BestPaper,ベストペーパー
確率分布,カクリツブンプ
softmax関数,ソフトマックスカンスウ
確率分布,カクリツブンプ
ユークリッド空間上,ユークリッドクウカンジョウ
確率分布,カクリツブンプ
ニューラル翻訳,ニューラルホンヤク
最適化,サイテキカ
研究室ゼミ,ケンキュウシツゼミ
探索アルゴリズム,タンサクアルゴリズム
大変良書,タイヘンリョウショ
テキスト処理,テキストショリ
人等,ヒトトウ
にもNLP,ニモエヌエルピー
データマイニング技術,データマイニングギジュツ
基本的事項,キホンテキジコウ
研究テーマ,ケンキュウテーマ
ですよ。先生,デスヨセンセイ
何人,ナンニン
松本研,マツモトケン
研ゼミ,ケンゼミ
ゼミ室,ゼミシツ
研究費,ケンキュウヒ
東京大学大学院,トウキョウダイガクダイガクイン
大学院情報,ダイガクインジョウホウ
情報理,ジョウホウリ
理工学系研究科,リコウガクケイケンキュウカ
特任,トクニン
任助教,ニンジョキョウ
博士課程,ハカセカテイ
研究テーマ,ケンキュウテーマ
博士課程,ハカセカテイ
課程中,カテイチュウ
共同研究,キョウドウケンキュウ
NAIST新入生,ナイストシンニュウセイ
中村研,ナカムラケン
研究室紹介,ケンキュウシツショウカイ
デモ見学,デモケンガク
現役生,ゲンエキセイ
もしNAIST,モシナイスト
言語処理,ゲンゴショリ
意味解析,イミカイセキ
脳波処理,ノウハショリ
コミュニケーション支援,コミュニケーションシエン
今日一,キョウイチ
一日,イチニチ
日中,ニチチュウ
中僕,チュウボク
知能コミュニケーション,チノウコミュニケーション
コミュニケーション研究室,コミュニケーションケンキュウシツ
情報B棟,ジョウホウビートウ
Google先生,グーグルセンセイ
機械学習モデル,キカイガクシュウモデル
ライブラリ化,ライブラリカ
何回,ナンカイ
何回,ナンカイ
深層学習,シンソウガクシュウ
学習ライブラリ,ガクシュウライブラリ
学位授与,ガクイジュヨ
授与式,ジュヨシキ
修了生,シュウリョウセイ
年一緒,ネンイッショ
政治的思想,セイジテキシソウ
斜め上,ナナメジョウ
ソフトウェアアーティファクト,ソフトウェアアーティファクト
機械学習モデル,キカイガクシュウモデル
NAISTスプリング,ナイストスプリング
スプリングセミナー,スプリングセミナー
スプリングセミナー,スプリングセミナー
若手トップ,ワカテトップ
トップ研究,トップケンキュウ
研究者,ケンキュウシャ
集合知的,シュウゴウチテキ
人中2,ニンチュウニ
中2人,チュウニジン
気をつけよう,キヲツケヨウ
reinforcement learningin,リインフォースメントラーニングイン
パラメータ最適化,パラメータサイテキカ
最適化手法,サイテキカシュホウ
サーベイ論文,サーベイロンブン
機械学習手法,キカイガクシュウシュホウ
曖昧性,アイマイセイ
ロングペーパー,ロングペーパー
ペーパー共著,ペーパーキョウチョ
共著2つ,キョウチョフタツ
中村研,ナカムラケン
部分文字列,ブブンモジレツ
効率的,コウリツテキ
対訳データ,タイヤクデータ
データ作成,データサクセイ
活用生成,カツヨウセイセイ
生成法,セイセイホウ
中村研,ナカムラケン
同時音声,ドウジオンセイ
音声翻訳,オンセイホンヤク
翻訳システム,ホンヤクシステム
機械翻訳班,キカイホンヤクハン
班M1,ハンエムイチ
M1勢,エムイチゼイ
絶賛取材,ゼッサンシュザイ
取材対応,シュザイタイオウ
対応中,タイオウチュウ
翔泳社さん,ショウエイシャサン
３月５,サンガツゴ
５日,ゴニチ
日発売,ニチハツバイ
現在予約,ゲンザイヨヤク
予約注文,ヨヤクチュウモン
注文受け付け,チュウモンウケツケ
受け付け中,ウケツケチュウ
大変そう,タイヘンソウ
活用語尾,カツヨウゴビ
トークン化,トークンカ
化スクリプト,カスクリプト
多言語対応,タゲンゴタイオウ
使い方一覧,ツカイカタイチラン
言語処理,ゲンゴショリ
実践的,ジッセンテキ
ニューラルネット入門,ニューラルネットニュウモン
コンピュータ科学,コンピュータカガク
人工知能研究,ジンコウチノウケンキュウ
研究センター,ケンキュウセンター
人工知能研究,ジンコウチノウケンキュウ
研究者,ケンキュウシャ
岩波データサイエンス,イワナミデータサイエンス
統計的自然言語処理,トウケイテキシゼンゲンゴショリ
ニューラルネット構文解析,ニューラルネットコウブンカイセキ
構文解析モデル,コウブンカイセキモデル
isa,アイエスアール
apen,アールペルーヌエボソル
複雑さ,フクザツサ
翻訳モデル,ホンヤクモデル
分野外,ブンヤガイ
三浦くん,ミウラクン
査読項目,サドクコウモク
説明文,セツメイブン
点中3,テンチュウサン
有用性,ユウヨウセイ
有用性,ユウヨウセイ
クレオール形成,クレオールケイセイ
一番気,イチバンキ
報酬関数,ホウシュウカンスウ
言語処理学会年次,ゲンゴショリガッカイネンジ
年次大会,ネンジタイカイ
NLP若手,エヌエルピーワカテ
会懇親,カイコンシン
懇親会,コンシンカイ
decoderモデル,デコーダモデル
翻訳器,ホンヤクキ
春桜,ハルサクラ
羽生,ハネセイ
愛天,アイテン
天寿,テンコトブキ
歩歩,フフ
愛咲,アイサキ
茶莉,チャレイ
莉鈴,レイスズ
太郎,フトシロウ
がんだむ,ガンダム
竜空,リュウソラ
言語処理,ゲンゴショリ
処理応用,ショリオウヨウ
C++ニューラルネット,シープラスプラスニューラルネット
ニューラルネットライブラリ,ニューラルネットライブラリ
最終的,サイシュウテキ
何回,ナンカイ
囲碁解法,イゴカイホウ
木探索,キタンサク
既存法,キソンホウ
%勝利,パーセントショウリ
格差感,カクサカン
NAISTスプリング,ナイストスプリング
スプリングセミナー,スプリングセミナー
プチ研究,プチケンキュウ
研究体験,ケンキュウタイケン
数席,スウセキ
6日間,ムイカカン
abouta,アバウトアール
ニューラル翻訳,ニューラルホンヤク
テキトー,テキトー
トーさ,トーサ
関西MT,カンサイエムティー
MT勉強会,エムティーベンキョウカイ
音響キーワード,オンキョウキーワード
キーワードブック,キーワードブック
多言語音声,タゲンゴオンセイ
音声翻訳,オンセイホンヤク
句構造解析,クコウゾウカイセキ
解析木,カイセキキ
外的評価,ガイテキヒョウカ
構文解析結果,コウブンカイセキケッカ
ところ翻訳,トコロホンヤク
翻訳以外,ホンヤクイガイ
説明文,セツメイブン
プログラミング初心者,プログラミングショシンシャ
最近Python,サイキンパイソン
論文タイトル,ロンブンタイトル
研究者,ケンキュウシャ
一回,イチカイ
統計的機械翻訳,トウケイテキキカイホンヤク
指導教員,シドウキョウイン
NAISTスプリング,ナイストスプリング
スプリングセミナー,スプリングセミナー
随時参加者募集,ズイジサンカシャボシュウ
参加者募集中,サンカシャボシュウチュウ
応募者,オウボシャ
特定分野,トクテイブンヤ
特定分野,トクテイブンヤ
一般分野,イッパンブンヤ
マルチモーダル,マルチモーダル
モーダルインタラクション,モーダルインタラクション
対話処理,タイワショリ
NAIST知能,ナイストチノウ
知能コミュニケーション,チノウコミュニケーション
コミュニケーション研究室,コミュニケーションケンキュウシツ
共同研究,キョウドウケンキュウ
InterSpeech,インテルスピーチ
予稿集,ヨコウシュウ
個後,コゴ
中村研,ナカムラケン
知識発見,チシキハッケン
音声認識システム,オンセイニンシキシステム
機械学習入門,キカイガクシュウニュウモン
脳インターフェイス,ノウインターフェイス
スプリングセミナー,スプリングセミナー
2日間,フツカカン
間研究室,カンケンキュウシツ
研究テーマ,ケンキュウテーマ
受講生,ジュコウセイ
是非NAIST,ゼヒナイスト
NAIST中村,ナイストナカムラ
中村研,ナカムラケン
Ustream配信,ユーストリームハイシン
分程度,フンテイド
Ustream配信,ユーストリームハイシン
年分,ネンブン
招待講演,ショウタイコウエン
男女比,ダンジョヒ
招待講演,ショウタイコウエン
講演等,コウエントウ
男女比,ダンジョヒ
改善策,カイゼンサク
招待講演,ショウタイコウエン
研究者,ケンキュウシャ
改善策,カイゼンサク
男女比,ダンジョヒ
招待講演,ショウタイコウエン
中村研,ナカムラケン
受賞ラッシュ,ジュショウラッシュ
それぞれ学生,ソレゾレガクセイ
学生発表,ガクセイハッピョウ
発表賞,ハッピョウショウ
発表賞,ハッピョウショウ
中村先生,ナカムラセンセイ
情報科学研究科,ジョウホウカガクケンキュウカ
知能コミュニケーション,チノウコミュニケーション
コミュニケーション研究室,コミュニケーションケンキュウシツ
研究室だらけ,ケンキュウシツダラケ
だらけw,ダラケワット
対訳データ,タイヤクデータ
分野適応,ブンヤテキオウ
音響モデル,オンキョウモデル
ニューラル翻訳,ニューラルホンヤク
翻訳システム,ホンヤクシステム
分野適応,ブンヤテキオウ
効果自体,コウカジタイ
学習率,ガクシュウリツ
データ数,データスウ
ベトナム語タスク,ベトナムゴタスク
国際機械翻訳,コクサイキカイホンヤク
機械翻訳コンペ,キカイホンヤクコンペ
英独,エイドク
独翻訳,ドクホンヤク
スタンフォード大学,スタンフォードダイガク
翻訳システム,ホンヤクシステム
位チーム,イチーム
ニューラル翻訳,ニューラルホンヤク
論文誌,ロンブンシ
意味解析,イミカイセキ
検索クエリ,ケンサククエリ
潜在的,センザイテキ
意味解析,イミカイセキ
言い換え表現,イイカエヒョウゲン
音声翻訳,オンセイホンヤク
国際ワークショップ,コクサイワークショップ
中村研,ナカムラケン
自己学習,ジコガクシュウ
強調翻訳,キョウチョウホンヤク
構文木職人,コウブンギショクニン
構文木職人,コウブンギショクニン
数年,スウネン
年前,ネンマエ
前さん,マエサン
サーベイ論文,サーベイロンブン
最終版,サイシュウバン
音声認識器,オンセイニンシキキ
年前,ネンマエ
年前,ネンマエ
廃藩,ハイハン
藩制度,ハンセイド
年前,ネンマエ
認識器,ニンシキキ
翻訳精度,ホンヤクセイド
並列句,ヘイレツク
言語処理,ゲンゴショリ
トップ論文,トップロンブン
論文誌,ロンブンシ
検索クエリ,ケンサククエリ
単語列,タンゴレツ
意味解析,イミカイセキ
潜在的,センザイテキ
意味解析,イミカイセキ
解析精度,カイセキセイド
近日公開,キンジツコウカイ
言語処理,ゲンゴショリ
ニューラルネット入門,ニューラルネットニュウモン
言語処理,ゲンゴショリ
必見資料,ヒッケンシリョウ
著者紹介,チョシャショウカイ
ラーメン関係,ラーメンカンケイ
中村研,ナカムラケン
さ爆発,サバクハツ
正規化処理,セイキカショリ
byyours,ビーワイユアーズ
yourself,ユアーズエルフ
elfand,エルフアンド
tothe,トゥザ
京都大学,キョウトダイガク
学習法,ガクシュウホウ
実用的,ジツヨウテキ
共著者,キョウチョシャ
トップ国際,トップコクサイ
国際会議,コクサイカイギ
中村研,ナカムラケン
ゼミ室,ゼミシツ
言語横断,ゲンゴオウダン
横断質問,オウダンシツモン
質問応答,シツモンオウトウ
翻訳結果,ホンヤクケッカ
翻訳結果,ホンヤクケッカ
質問応答,シツモンオウトウ
評価尺度,ヒョウカシャクド
最適化,サイテキカ
ニューラルネットモデル,ニューラルネットモデル
クラスソフトマックス,クラスソフトマックス
ソフトマックス関数,ソフトマックスカンスウ
値分類,チブンルイ
高速化,コウソクカ
ポスドク１,ポスドクイチ
１名,イチメイ
脳波情報,ノウハジョウホウ
InterSpeech,インテルスピーチ
InterSpeech,インテルスピーチ
Twitter上,ツイッタージョウ
InterSpeech,インテルスピーチ
肉伝導,ニクデンドウ
伝導マイク,デンドウマイク
可聴つぶやき,カチョウツブヤキ
つぶやき変換,ツブヤキヘンカン
空気伝導,クウキデンドウ
伝導マイク,デンドウマイク
InterSpeech,インテルスピーチ
人がどこ,ジンガドコ
ポーズ推定,ポーズスイテイ
係り受け解析,カカリウケカイセキ
係り受け木,カカリウケキ
両方付与,リョウホウフヨ
InterSpeech,インテルスピーチ
母語話者,ボゴワシャ
英語音声,エイゴオンセイ
きれいな発音,キレイナハツオン
音声合成器,オンセイゴウセイキ
音韻情報,オンインジョウホウ
部分的補正,ブブンテキホセイ
言語学習,ゲンゴガクシュウ
InterSpeech,インテルスピーチ
差分スペクトラム,サブンスペクトラム
スペクトラム補正,スペクトラムホセイ
歌声変換,ウタゴエヘンカン
系列内,ケイレツナイ
内変動,ナイヘンドウ
変換性能,ヘンカンセイノウ
InterSpeech,インテルスピーチ
音声翻訳,オンセイホンヤク
線形回帰隠れ,センケイカイキカクレ
隠れセミ,カクレセミ
セミマルコフモデル,セミマルコフモデル
InterSpeech,インテルスピーチ
調音機構,チョウオンキコウ
直感的,チョッカンテキ
音声変換,オンセイヘンカン
変換技術,ヘンカンギジュツ
差分スペクトル,サブンスペクトル
スペクトル補正,スペクトルホセイ
変換法,ヘンカンホウ
直感的,チョッカンテキ
音声変換,オンセイヘンカン
変換技術,ヘンカンギジュツ
InterSpeech,インテルスピーチ
同時音声,ドウジオンセイ
音声翻訳,オンセイホンヤク
人手評価,ヒトデヒョウカ
ランキング学習,ランキングガクシュウ
重要度,ジュウヨウド
定量化,テイリョウカ
InterSpeech,インテルスピーチ
の歴史的,ニホンコウクウノレキシテキ
音響学会,オンキョウガッカイ
宣伝効果,センデンコウカ
効果抜群,コウカバツグン
フォント周り,フォントマワリ
教育システム情報,キョウイクシステムジョウホウ
システム情報学会,システムジョウホウガッカイ
学会全国大会,ガッカイゼンコクタイカイ
疑似コード,ギジコード
自動生成,ジドウセイセイ
プログラミング初心者,プログラミングショシンシャ
中村研,ナカムラケン
戸田先生,トダセンセイ
戸田先生,トダセンセイ
言語処理,ゲンゴショリ
荒牧先生,アラマキセンセイ
ソーシャルコンピューティング,ソーシャルコンピューティング
コンピューティング研究室,コンピューティングケンキュウシツ
中村研,ナカムラケン
分野別,ブンヤベツ
言語処理,ゲンゴショリ
学術情報,ガクジュツジョウホウ
情報メディア,ジョウホウメディア
メディアセンター,メディアセンター
センターセミナー,センターセミナー
ニューラルMT,ニューラルエムティー
統計モデル,トウケイモデル
IBMモデル,アイビーエムモデル
モデル以来,モデルイライ
完全統計,カンゼントウケイ
統計モデル,トウケイモデル
統計寄り,トウケイヨリ
学習途中,ガクシュウトチュウ
foreign,フェードアウトレイン
reignginseng,レインジンセン
end構文,エンドコウブン
億円,オクエン
億円,オクエン
インターン生,インターンセイ
期間中,キカンチュウ
対話システム,タイワシステム
４日,ヨンニチ
インターン生,インターンセイ
インターン生,インターンセイ
4日間,ヨッカカン
日本国,ニッポンコク
