産総研人工知能,サンソウケンジンコウチノウ
中村研,ナカムラケン
研M2,ケンエムツー
ピボット翻訳,ピボットホンヤク
ピボット言語,ピボットゲンゴ
TOEFL両方,トーフルリョウホウ
去年自分,キョネンジブン
大学院入試,ダイガクインニュウシ
入試委員,ニュウシイイン
筆記試験免除,ヒッキシケンメンジョ
TOEIC出して,トーイックダシテ
研究者,ケンキュウシャ
共同研究,キョウドウケンキュウ
本好き,ホンスキ
研究者,ケンキュウシャ
IBM基礎,アイビーエムキソ
基礎研究所,キソケンキュウジョ
西山莉,ニシヤマレイ
莉紗,レイシャ
紗さん,シャサン
研究所同期,ケンキュウジョドウキ
論文紹介,ロンブンショウカイ
観月橋日記,カンゲツキョウニッキ
生駒日記,イコマニッキ
音素バランス,オンソバランス
バランス文,バランスブン
掃除専門,ソウジセンモン
保育園親,ホイクエンオヤ
言語処理学会年次,ゲンゴショリガッカイネンジ
年次大会,ネンジタイカイ
いつか収束,イツカシュウソク
構文解析的,コウブンカイセキテキ
筆答試験,ヒットウシケン
試験免除,シケンメンジョ
弊研究室,ヘイケンキュウシツ
何人,ナンニン
人日和,ニンヒヨリ
逃避型,トウヒガタ
型留学,ガタリュウガク
中学レベル,チュウガクレベル
英語学校,エイゴガッコウ
松本研,マツモトケン
持橋,ジキョウ
橋さん,キョウサン
休日出勤続き,キュウジツシュッキンツヅキ
単語分割,タンゴブンカツ
学域,ガクイキ
Python製,パイソンセイ
帰かスタック,キカスタック
理論的,リロンテキ
日程調整,ニッテイチョウセイ
NL研,エヌエルケン
〆切前,シメキリマエ
NL研,エヌエルケン
発表申し込み,ハッピョウモウシコミ
NL研,エヌエルケン
発表申し込み,ハッピョウモウシコミ
〆切当日,シメキリトウジツ
毎回授業,マイカイジュギョウ
授業資料,ジュギョウシリョウ
来週以降,ライシュウイコウ
素粒子研究,ソリュウシケンキュウ
カメリオ,カメリオ
シバタアキラ,シバタアキラ
アキラさん,アキラサン
勉強会まとめ,ベンキョウカイマトメ
小町研,コマチケン
年目,ネンメ
予定日,ヨテイビ
それ自身,ソレジシン
来週以降,ライシュウイコウ
みんな教科書,ミンナキョウカショ
授業資料,ジュギョウシリョウ
人海戦術仕事,ジンカイセンジュツシゴト
あと数,アトスウ
数年,スウネン
人海戦術仕事,ジンカイセンジュツシゴト
週末体調,シュウマツタイチョウ
明日授業,アシタジュギョウ
forNLP,フォーエヌエルピー
NLPand,エヌエルピーアンド
andML,アンドエムエル
MLat,エムエルアット
inSydney,インシドニー
全く同感,ゼンクドウカン
武者修行大事,ムシャシュギョウダイジ
…。チーム,サイレンスチーム
機械翻訳かなり,キカイホンヤクカナリ
英語abstract,エイゴアブストラクト
国際会議,コクサイカイギ
一つ違い,ヒトツチガイ
違い程度,チガイテイド
マザーゲーム,マザーゲーム
それ以上,ソレイジョウ
一番重要,イチバンジュウヨウ
ないとただ,ナイトタダ
午前中,ゴゼンチュウ
時過ぎ,ジスギ
学生奨励賞,ガクセイショウレイショウ
授賞対象,ジュショウタイショウ
博士課程,ハカセカテイ
%強,パーセントキョウ
大学進学,ダイガクシンガク
BestPaper,ベストペーパー
共著者,キョウチョシャ
分散表現,ブンサンヒョウゲン
活用パターン,カツヨウパターン
活用パターン,カツヨウパターン
妥当性,ダトウセイ
対話応答,タイワオウトウ
1つめ,ヒトツメ
2つ目,フタツメ
コーパスアノテーション,コーパスアノテーション
M1春,エムイチハル
M1秋,エムイチアキ
M2夏,エヌジーシーナナセンハチジュウキュウナツ
ようやく形,ヨウヤクガタ
M2夏,エヌジーシーナナセンハチジュウキュウナツ
夏以降,ナツイコウ
モデルコース,モデルコース
深層学習,シンソウガクシュウ
学習みたい,ガクシュウミタイ
研究者,ケンキュウシャ
本来おかしな話,ホンライオカシナハナシ
データ分析,データブンセキ
実験科学,ジッケンカガク
取って分析,トッテブンセキ
成功以外,セイコウイガイ
点以下,テンイカ
大学院入試,ダイガクインニュウシ
NL研,エヌエルケン
週明け月曜日,シュウアケゲツヨウビ
発表申し込み,ハッピョウモウシコミ
申し込み〆切,モウシコミシメキリ
原稿〆切,ゲンコウシメキリ
何件,ナンケン
件申し込み,ケンモウシコミ
回情報処理学会,カイジョウホウショリガッカイ
情報処理学会自然言語処理,ジョウホウショリガッカイシゼンゲンゴショリ
自然言語処理研究会,シゼンゲンゴショリケンキュウカイ
招待講演,ショウタイコウエン
タイトル案,タイトルアン
アブスト案,アブストアン
さそう,サソウ
首都大秋葉原,シュトダイアキハバラ
秋葉原キャンパス,アキハバラキャンパス
NL研,エヌエルケン
学内便,ガクナイビン
キャンパス一つ,キャンパスヒトツ
学内便,ガクナイビン
学生宛,ガクセイアテ
教員宛,キョウインアテ
招待講演,ショウタイコウエン
北京以外,ペキンイガイ
rakutentech,ラクテンテック
リクルーティングパーティ,リクルーティングパーティ
研究者,ケンキュウシャ
グループSMS,グループエスエムエス
今朝体温,ケサタイオン
グループ会話,グループカイワ
結局ウェブ,ケッキョクウェブ
追加ファイル,ツイカファイル
プレゼン初心者,プレゼンショシンシャ
研究報告,ケンキュウホウコク
プレゼンテーション技術,プレゼンテーションギジュツ
研究室内部,ケンキュウシツナイブ
内部向け,ナイブムケ
人工知能テスト,ジンコウチノウテスト
テスト結果,テストケッカ
WSJJapan,ダブリューエスジェイジャパン
Japanさん,ジャパンサン
SlideShare,スライドシェア
Shareさん,シェアサン
授業中,ジュギョウチュウ
中質問,チュウシツモン
機械学習系,キカイガクシュウケイ
系研究室,ケイケンキュウシツ
研究室一覧,ケンキュウシツイチラン
昨晩普通に,サクバンフツウニ
普通に薬,フツウニヤク
なにそれ,ナニソレ
4日ぶん,ヨッカブン
無事スポンサー,ブジスポンサー
スポンサー表示,スポンサーヒョウジ
情報処理学会自然言語処理,ジョウホウショリガッカイシゼンゲンゴショリ
自然言語処理研究会,シゼンゲンゴショリケンキュウカイ
NL研,エヌエルケン
発表申し込み,ハッピョウモウシコミ
申し込み〆切,モウシコミシメキリ
昨日一昨日,キノウオトトイ
3日前,ミッカマエ
物理的,ブツリテキ
保育士さん,ホイクシサン
さんたち,サンタチ
地元トーク,ジモトトーク
ゼミ室,ゼミシツ
エレベータ前,エレベータマエ
弊研,ヘイケン
学生達,ガクセイタチ
ラボ泊,ラボハク
研究拠点,ケンキュウキョテン
作業中,サギョウチュウ
体力温存,タイリョクオンゾン
結局両親,ケッキョクリョウシン
36℃台,サンジュウロクドシーダイ
夜間窓口,ヤカンマドグチ
博士課程,ハカセカテイ
課程進学,カテイシンガク
指導教員,シドウキョウイン
一個,イチコ
個人として,コヒトトシテ
日本音響,ニッポンオンキョウ
音響学会,オンキョウガッカイ
もとで音響,モトデオンキョウ
音響系,オンキョウケイ
タグ付け,タグヅケ
受験希望,ジュケンキボウ
希望者,キボウシャ
学生同士,ガクセイドウシ
研究室立ち,ケンキュウシツタチ
立ち上げ,タチアゲ
上げ以来,アゲイライ
以来横並び,イライヨコナラビ
医者さん,イシャサン
時間横,ジカンヨコ
急性ウイルス性肝炎,キュウセイウイルスセイカンエン
国際会議,コクサイカイギ
必修英語,ヒッシュウエイゴ
英語フレーズ,エイゴフレーズ
午前中,ゴゼンチュウ
言語学関係,ゲンゴガクカンケイ
言語学関係,ゲンゴガクカンケイ
レシピ翻訳,レシピホンヤク
学生１,ガクセイイチ
１人,イチニン
翻訳システム,ホンヤクシステム
会社ごと,カイシャゴト
万学生,マンガクセイ
言語資源整備,ゲンゴシゲンセイビ
一人,イチニン
若手NLP,ワカテエヌエルピー
NLP研究,エヌエルピーケンキュウ
研究者,ケンキュウシャ
一般言語学,イッパンゲンゴガク
言語学講義,ゲンゴガクコウギ
英語力,エイゴリョク
インターン生,インターンセイ
同時翻訳,ドウジホンヤク
英語論文,エイゴロンブン
papertitle,ペーパータイトル
Moreto,モアトゥ
月火,ツキヒ
ろかぶり,ロカブリ
西川仁,ニシカワヒトシ
自然言語処理研究室,シゼンゲンゴショリケンキュウシツ
徳永研,トクナガケン
藤井研,フジイケン
TOEIC換算,トーイックカンサン
前後氏,ゼンゴシ
深層学習,シンソウガクシュウ
参照応答,サンショウオウトウ
対話コーパス,タイワコーパス
MicrosoftResearch,マイクロソフトリサーチ
数ヶ月,スウカゲツ
個人的感想,コジンテキカンソウ
アメリカンまたたび,アメリカンマタタビ
分野別,ブンヤベツ
別投稿,ベツトウコウ
投稿数,トウコウスウ
採択数,サイタクスウ
データ中心,データチュウシン
実現タスク,ジツゲンタスク
もの意外,モノイガイ
paperwas,ペーパーワイドエリアサーチ
wasa,ワイドエリアサーチアール
asummer,アールサマー
atMSR,エーティーエムエスアール
dofun,ドーファン
andhear,アンドヒアー
tea,トンエア
eam's,エアエムズ
m'spaper,エムズペーパー
paperon,ペーパーオン
networksfor,ネットワークスフォー
NAIST受験,ナイストジュケン
受験予定,ジュケンヨテイ
予定者,ヨテイシャ
添削願い,テンサクネガイ
大変そう,タイヘンソウ
出願締め切り,シュツガンシメキリ
実質あと,ジッシツアト
あと一週間,アトイッシュウカン
情報科学研究科,ジョウホウカガクケンキュウカ
研究科博士,ケンキュウカハカセ
博士前期課程,ハカセゼンキカテイ
前期課程知能,ゼンキカテイチノウ
知能コミュニケーション,チノウコミュニケーション
コミュニケーション研究室,コミュニケーションケンキュウシツ
研究室受験,ケンキュウシツジュケン
受験予定,ジュケンヨテイ
早目,ハヤメ
ラボ泊,ラボハク
結果生活,ケッカセイカツ
生活リズム,セイカツリズム
建設的,ケンセツテキ
ところ振り出し,トコロフリダシ
根本的,コンポンテキ
あなた方,アナタカタ
NL研,エヌエルケン
運営委員会,ウンエイイインカイ
議題に出し,ギダイニダシ
会場担当,カイジョウタントウ
招待講演,ショウタイコウエン
講演担当,コウエンタントウ
言語処理学会年次,ゲンゴショリガッカイネンジ
年次大会,ネンジタイカイ
分離分割,ブンリブンカツ
松尾氏,マツオシ
否定的,ヒテイテキ
物理的,ブツリテキ
サイバーアシスト,サイバーアシスト
未来大,ミライダイ
基本的,キホンテキ
研究活動,ケンキュウカツドウ
TOP会議,ティーオーピーカイギ
大学院入試,ダイガクインニュウシ
入試説明会,ニュウシセツメイカイ
100人以上,ヒャクニンイジョウ
7月頭,シチガツアタマ
府大戦,フタイセン
若干休み,ジャッカンヤスミ
最近娘,サイキンムスメ
大学院入試,ダイガクインニュウシ
筆記試験免除,ヒッキシケンメンジョ
大学院入試,ダイガクインニュウシ
噂通り,ウワサドオリ
通り人,ドオリジン
あふれ方,アフレカタ
未来大,ミライダイ
時間程度,ジカンテイド
具体的,グタイテキ
評価値,ヒョウカチ
正規化,セイキカ
分散表現,ブンサンヒョウゲン
構成性,コウセイセイ
計算モデル,ケイサンモデル
パラメータチューニング,パラメータチューニング
NL研,エヌエルケン
参加報告,サンカホウコク
ポスター発表,ポスターハッピョウ
情報理工,ジョウホウリコウ
大学院説明会,ダイガクインセツメイカイ
情報理工,ジョウホウリコウ
瞬間涙,シュンカンナミダ
査読待ち,サドクマチ
一人,イチニン
同じく一,ドウジクイチ
一人,イチニン
分前,フンマエ
家賃タダ,ヤチンタダ
あとそれ,アトソレ
万円,マンエン
洗濯機つき,センタクキツキ
美容師,ビヨウシ
入社当時,ニュウシャトウジ
尤度,ユウド
連接確率,レンセツカクリツ
回出て,カイダシテ
回出て,カイダシテ
単語ABC,タンゴエービーシー
出やすさ,シュツヤスサ
画像認識,ガゾウニンシキ
岡谷貴之,オカヤタカユキ
音声対話,オンセイタイワ
英会話学習,エイカイワガクシュウ
学習システム,ガクシュウシステム
伊藤彰則,イトウアキノリ
一志望,イチシボウ
適合率,テキゴウリツ
正解率,セイカイリツ
正解度,セイカイド
英方向,エイホウコウ
統計翻訳,トウケイホンヤク
研究者,ケンキュウシャ
旅行会話,リョコウカイワ
会話集,カイワシュウ
集みたい,シュウミタイ
典型的,テンケイテキ
今朝の,ケサノ
言語対,ゲンゴタイ
僕たち,ボクタチ
言語対,ゲンゴタイ
サンプル数,サンプルスウ
一番上,イチバンジョウ
全く記事,ゼンクキジ
記事中,キジチュウ
東工大関係者,トウコウダイカンケイシャ
たくさん経験,タクサンケイケン
Googlephoto,グーグルフォト
一般物体認識,イッパンブッタイニンシキ
物体認識研究,ブッタイニンシキケンキュウ
研究者,ケンキュウシャ
人工知能学会全国大会,ジンコウチノウガッカイゼンコクタイカイ
全国大会開始,ゼンコクタイカイカイシ
山田先生,ヤマダセンセイ
先生挨拶,センセイアイサツ
AI冬の時代,アイフユノジダイ
会社見学,カイシャケンガク
そっち応募,ソッチオウボ
リクルートHD,リクルートエイチディー
論文紹介,ロンブンショウカイ
関連研究,カンレンケンキュウ
数時間,スウジカン
時間後,ジカンゴ
歳以下,サイイカ
応募可能,オウボカノウ
2016年度,ニセンジュウロクネンド
度リクルートホールディングス,ドリクルートホールディングス
リクルートホールディングス新卒,リクルートホールディングスシンソツ
新卒Web,シンソツWeb
Web採用,Webサイヨウ
レシピ翻訳,レシピホンヤク
翻訳エンジニア,ホンヤクエンジニア
クックパッド株式会社採用情報,クックパッドカブシキガイシャサイヨウジョウホウ
時間外,ジカンガイ
外選定療養,ガイセンテイリョウヨウ
選定療養費,センテイリョウヨウヒ
武蔵野徳洲会,ムサシノトクシュウカイ
病床数,ビョウショウスウ
時間外,ジカンガイ
外選定療養,ガイセンテイリョウヨウ
選定療養費,センテイリョウヨウヒ
床以上,ショウイジョウ
最初後者,サイショコウシャ
育休取得,イクキュウシュトク
取得できるかな,シュトクデキルカナ
一つ得意,ヒトツトクイ
得意技,トクイワザ
物理的,ブツリテキ
博士後期,ハカセコウキ
後期課程,コウキカテイ
現実的,ゲンジツテキ
博士後期,ハカセコウキ
後期課程,コウキカテイ
研究室,ケンキュウシツ
人程度,ニンテイド
程度コンスタント,テイドコンスタント
博士後期,ハカセコウキ
後期課程,コウキカテイ
博士後期,ハカセコウキ
後期課程,コウキカテイ
期待値的,キタイチテキ
相当数,ソウトウスウ
博士後期,ハカセコウキ
後期課程,コウキカテイ
割強,ワリキョウ
今年研究室,コトシケンキュウシツ
来年度受験生,ライネンドジュケンセイ
院試受験,インシジュケン
博士後期,ハカセコウキ
後期課程,コウキカテイ
毎週Google,マイシュウグーグル
大学説明会,ダイガクセツメイカイ
研究室見学,ケンキュウシツケンガク
教員室,キョウインシツ
学生室,ガクセイシツ
研究室見学,ケンキュウシツケンガク
ページ数,ページスウ
首都圏開催,シュトケンカイサイ
東京感,トウキョウカン
日野キャンパス,ヒノキャンパス
キャンパス開催,キャンパスカイサイ
研究室見学,ケンキュウシツケンガク
大体全部,ダイタイゼンブ
場所参照,バショサンショウ
参照表現,サンショウヒョウゲン
表現タグ,ヒョウゲンタグ
タグ付き,タグツキ
付きコーパス,ツキコーパス
後輩氏,コウハイシ
NHK技研公開,エヌエッチケイギケンコウカイ
これ読解,コレドッカイ
読解支援,ドッカイシエン
支援勉強会,シエンベンキョウカイ
Web広告,Webコウコク
自動生成,ジドウセイセイ
統計的言語モデル,トウケイテキゲンゴモデル
昨日M1,キノウエムイチ
出て知見,ダシテチケン
研究テーマ,ケンキュウテーマ
テーマ紹介,テーマショウカイ
インターンシップ説明会,インターンシップセツメイカイ
人中,ニンチュウ
就職希望,シュウショクキボウ
人が過半数,ジンガカハンスウ
終了時間,シュウリョウジカン
大人向け,オトナムケ
向け次世代,ムケジセダイ
次世代型,ジセダイガタ
型教科書,ガタキョウカショ
ときどき進捗,トキドキシンチョク
進捗報告,シンチョクホウコク
大学院入試,ダイガクインニュウシ
入試説明会,ニュウシセツメイカイ
週3日,シュウミッカ
時勤務,ジキンム
夕ご飯,ユウゴハン
妻的,ツマテキ
週3日,シュウミッカ
夕ご飯,ユウゴハン
母的,ハハテキ
締め切り前,シメキリマエ
標準的,ヒョウジュンテキ
たい人達,タイジンタチ
本入力,ホンニュウリョク
ACLSRW,エーシーエルエスアールダブリュー
最終コメント,サイシュウコメント
コメント完了,コメントカンリョウ
素敵RT,ステキアールティー
RT夏,アールティーナツ
ITエンジニア,アイティーエンジニア
エンジニアインターン,エンジニアインターン
全体図,ゼンタイズ
言語処理,ゲンゴショリ
処理エンジン,ショリエンジン
国際コンペティション,コクサイコンペティション
卒論提出,ソツロンテイシュツ
提出前,テイシュツマエ
ACL/C,アダルトチルドレンエルシー
優先的,ユウセンテキ
お互い時間,オタガイジカン
NL研,エヌエルケン
研究会レベル,ケンキュウカイレベル
学会レベル,ガッカイレベル
決定事項,ケッテイジコウ
中期的,チュウキテキ
ニコ動以外,ニコドウイガイ
日野キャンパス,ヒノキャンパス
入試説明会,ニュウシセツメイカイ
見学希望,ケンガクキボウ
共同研究,キョウドウケンキュウ
ようやく使用,ヨウヤクシヨウ
使用可能,シヨウカノウ
会は大丈夫,カイハダイジョウブ
年次大会,ネンジタイカイ
使用可能,シヨウカノウ
研究室合宿,ケンキュウシツガッシュク
DMM英会話,ディーエムエムエイカイワ
体験談,タイケンダン
年以上,ネンイジョウ
以上前,イジョウマエ
就職面接,シュウショクメンセツ
研究成果,ケンキュウセイカ
○○,レイレイ
うちみたい,ウチミタイ
根本的,コンポンテキ
無理ゲー化,ムリゲーカ
2日間,フツカカン
疲労困憊,ヒロウコンパイ
言語処理学会年次,ゲンゴショリガッカイネンジ
年次大会,ネンジタイカイ
数日,スウニチ
日訪問,ニチホウモン
訪問予定,ホウモンヨテイ
場合教員,バアイキョウイン
何年,ナンネン
タグ付け,タグヅケ
人がいない,ジンガイナイ
タグ付け,タグヅケ
一人,イチニン
本格的,ホンカクテキ
お気付き,オキツキ
先人たち,センジンタチ
解説記事,カイセツキジ
速度規制,ソクドキセイ
小町研,コマチケン
勉強会はいつ,ベンキョウカイハイツ
自分的,ジブンテキ
NL研,エヌエルケン
2日間,フツカカン
劇重,ゲキジュウ
NL研,エヌエルケン
研優秀,ケンユウシュウ
優秀研究,ユウシュウケンキュウ
研究賞,ケンキュウショウ
NTT鈴木,エヌティーティースズキ
鈴木さん,スズキサン
永田さん,ナガタサン
最適解,サイテキカイ
解更新,カイコウシン
単語分散,タンゴブンサン
分散表現,ブンサンヒョウゲン
学習方式,ガクシュウホウシキ
田さん,タサン
岡崎さん,オカザキサン
乾さん,イヌイサン
対数的,タイスウテキ
的共起,テキキョウキ
共起ベクトル,キョウキベクトル
加法構成,カホウコウセイ
構成性,コウセイセイ
伊藤研,イトウケン
加瀬さん,カセサン
シナリオ対話,シナリオタイワ
感情音声合成,カンジョウオンセイゴウセイ
対話システム,タイワシステム
感情付与,カンジョウフヨ
付与方法,フヨホウホウ
合同研究会,ゴウドウケンキュウカイ
学生奨励賞,ガクセイショウレイショウ
NAIST松本,ナイストマツモト
松本研,マツモトケン
澤井さん,サワイサン
AbstractMeaning,アブストラクトミーニング
意味構造,イミコウゾウ
構造解析,コウゾウカイセキ
2015年5月,ニセンジュウゴネンゴガツ
NL研,エヌエルケン
鈴木さん,スズキサン
NL研,エヌエルケン
首都大学東京秋葉原,シュトダイガクトウキョウアキハバラ
秋葉原キャンパス,アキハバラキャンパス
liveat,ライブアット
文書要約,ブンショヨウヤク
誤り分析,アヤマリブンセキ
参照要約,サンショウヨウヤク
機械要約,キカイヨウヤク
さまざま相違,サマザマソウイ
誤り分析,アヤマリブンセキ
パッケージ化,パッケージカ
誤り分析,アヤマリブンセキ
自動要約器,ジドウヨウヤクキ
要約器,ヨウヤクキ
誤り分析,アヤマリブンセキ
人手パラメータ,ヒトデパラメータ
パラメータ調整,パラメータチョウセイ
自動評価,ジドウヒョウカ
田さん,タサン
NLP初心者,エヌエルピーショシンシャ
松本先生,マツモトセンセイ
橋本さん,ハシモトサン
松本先生,マツモトセンセイ
拡張固有,カクチョウコユウ
固有表現,コユウヒョウゲン
表現タグ,ヒョウゲンタグ
タグ付き,タグツキ
付きコーパス,ツキコーパス
拡張固有,カクチョウコユウ
固有表現,コユウヒョウゲン
日本語書き言葉,ニホンゴカキコトバ
書き言葉コーパス,カキコトバコーパス
コアデータ,コアデータ
固有表現,コユウヒョウゲン
現在最終,ゲンザイサイシュウ
最終セッション,サイシュウセッション
複数ジャンル,フクスウジャンル
基本固有,キホンコユウ
固有表現,コユウヒョウゲン
表現タグ,ヒョウゲンタグ
タグ付き,タグツキ
付きコーパス,ツキコーパス
ショート発表,ショートハッピョウ
配信中,ハイシンチュウ
liveat,ライブアット
発音評価,ハツオンヒョウカ
イントネーション評価,イントネーションヒョウカ
誤り認識,アヤマリニンシキ
対話システム,タイワシステム
オウム返し,オウムガエシ
反射的,ハンシャテキ
学習効果,ガクシュウコウカ
タイムプレッシャー,タイムプレッシャー
自動評価,ジドウヒョウカ
合成音声,ゴウセイオンセイ
自動生成,ジドウセイセイ
ルールベース,ルールベース
確率的,カクリツテキ
システム的,システムテキ
SSTコーパス,エスエスティコーパス
英語音声,エイゴオンセイ
ERJデータベース,イーアールジェイデータベース
下手さ,ヘタサ
一番レベル,イチバンレベル
一番選択,イチバンセンタク
尤度,ユウド
個人性,コジンセイ
言語性,ゲンゴセイ
バイリンガル発話,バイリンガルハツワ
音素モデル,オンソモデル
音素モデル,オンソモデル
言語音響,ゲンゴオンキョウ
音響モデル,オンキョウモデル
発音誤り,ハツオンアヤマリ
誤り検出,アヤマリケンシュツ
誤りモデル,アヤマリモデル
音素モデル,オンソモデル
音素モデル,オンソモデル
モデル両方,モデルリョウホウ
音素モデル,オンソモデル
モデル由来,モデルユライ
インタラクティブ性,インタラクティブセイ
言語的,ゲンゴテキ
的情報,テキジョウホウ
自動評価,ジドウヒョウカ
音響モデル,オンキョウモデル
音響尤,オンキョウユウ
尤度,ユウド
個人性,コジンセイ
英語学習システム,エイゴガクシュウシステム
究極的,キュウキョクテキ
スペル訂正,スペルテイセイ
自動評価,ジドウヒョウカ
自動生成,ジドウセイセイ
従来システム,ジュウライシステム
バッティングセンターのようなもの,バッティングセンターノヨウナモノ
インタラクティブ性,インタラクティブセイ
漢検DS,カンケンディーエス
スペル学習,スペルガクシュウ
マルチメディア教材,マルチメディアキョウザイ
教材提示,キョウザイテイジ
リーディング重視,リーディングジュウシ
能力要請,ノウリョクヨウセイ
要請重視,ヨウセイジュウシ
教師用,キョウシヨウ
自習用,ジシュウヨウ
学習支援,ガクシュウシエン
伊藤彰則,イトウアキノリ
彰則先生,アキノリセンセイ
音声対話,オンセイタイワ
英会話学習,エイカイワガクシュウ
学習システム,ガクシュウシステム
liveat,ライブアット
招待講演,ショウタイコウエン
同じく東北大学,ドウジクトウホクダイガク
伊藤彰則,イトウアキノリ
彰則先生,アキノリセンセイ
音声対話,オンセイタイワ
英会話学習,エイカイワガクシュウ
学習システム,ガクシュウシステム
liveat,ライブアット
物理的,ブツリテキ
指向性マイク,シコウセイマイク
物体検出,ブッタイケンシュツ
不変性,フヘンセイ
物体検出,ブッタイケンシュツ
画像認識,ガゾウニンシキ
深層学習,シンソウガクシュウ
現状まとめ,ゲンジョウマトメ
深層学習,シンソウガクシュウ
画像応用,ガゾウオウヨウ
中核技術,チュウカクギジュツ
一本,イチホン
文字認識,モジニンシキ
物体検出,ブッタイケンシュツ
ビデオ分類,ビデオブンルイ
音質的,オンシツテキ
指向性マイク,シコウセイマイク
講演中,コウエンチュウ
次回以降,ジカイイコウ
深層学習,シンソウガクシュウ
不変性,フヘンセイ
若干レート,ジャッカンレート
ポート的,ポートテキ
電波的,デンパテキ
階層性,カイソウセイ
不変性,フヘンセイ
特徴抽出,トクチョウチュウシュツ
視聴数,シチョウスウ
liveat,ライブアット
Fangら,ファングラ
文生成,ブンセイセイ
画像記述,ガゾウキジュツ
毎回CNN,マイカイシーエヌエヌ
指向性マイク,シコウセイマイク
CVPR,シーブイピーアール
画像記述,ガゾウキジュツ
翻訳用,ホンヤクヨウ
深層学習,シンソウガクシュウ
分野適応,ブンヤテキオウ
深層学習,シンソウガクシュウ
特徴自体,トクチョウジタイ
分類自体,ブンルイジタイ
線形分類,センケイブンルイ
分類器,ブンルイキ
顔画像,カオガゾウ
画像認識,ガゾウニンシキ
深層学習,シンソウガクシュウ
学習登場,ガクシュウトウジョウ
登場以前,トウジョウイゼン
深層学習,シンソウガクシュウ
物体カテゴリ,ブッタイカテゴリ
カテゴリ認識,カテゴリニンシキ
深層学習,シンソウガクシュウ
勾配降下,コウバイコウカ
降下法,コウカホウ
ミニバッチ,ミニバッチ
重み更新,オモミコウシン
出力層,シュツリョクソウ
物体カテゴリ,ブッタイカテゴリ
カテゴリ認識,カテゴリニンシキ
写真そのもの,シャシンソノモノ
勾配効果,コウバイコウカ
効果法,コウカホウ
学習データ,ガクシュウデータ
貢献大,コウケンダイ
万枚,マンマイ
物体カテゴリ,ブッタイカテゴリ
カテゴリ認識,カテゴリニンシキ
認識タスク,ニンシキタスク
伝統的,デントウテキ
深層学習,シンソウガクシュウ
リング層,リングソウ
繰り返し構造,クリカエシコウゾウ
学習可能,ガクシュウカノウ
画像認識,ガゾウニンシキ
画像認識,ガゾウニンシキ
当たりタスク,アタリタスク
物体カテゴリ,ブッタイカテゴリ
カテゴリ認識,カテゴリニンシキ
当たりタスク,アタリタスク
招待講演,ショウタイコウエン
画像認識,ガゾウニンシキ
liveat,ライブアット
招待講演,ショウタイコウエン
liveat,ライブアット
納得感,ナットクカン
けんすう氏,ケンスウシ
スマホ時代,スマホジダイ
重要性,ジュウヨウセイ
最近査読,サイキンサドク
説明員,セツメイイン
子育て中,コソダテチュウ
NL研,エヌエルケン
共催研究会,キョウサイケンキュウカイ
招待講演,ショウタイコウエン
岡谷先生,オカヤセンセイ
画像認識,ガゾウニンシキ
あと3つ,アトミッツ
辞書作成,ジショサクセイ
文生成,ブンセイセイ
質問応答,シツモンオウトウ
午前中,ゴゼンチュウ
読解支援,ドッカイシエン
支援勉強会,シエンベンキョウカイ
NHK技研,エヌエイチケイギケン
技研公開,ギケンコウカイ
日程調整,ニッテイチョウセイ
査読期間,サドクキカン
論文誌,ロンブンシ
投稿受理,トウコウジュリ
査読結果,サドクケッカ
査読期間,サドクキカン
昨日査読,キノウサドク
人紹介,ニンショウカイ
一度,イチド
鍛冶屋,タンヤヤ
王道展開,オウドウテンカイ
展開みたい,テンカイミタイ
ニューラルネットワーク職人,ニューラルネットワークショクニン
パラメータチューニング,パラメータチューニング
Web小説,Webショウセツ
先週出前授業,センシュウデマエジュギョウ
就活中,シュウカツチュウ
セキュリティ専門,セキュリティセンモン
専門会社,センモンカイシャ
暗号化,アンゴウカ
学生選別,ガクセイセンベツ
投稿時,トウコウジ
こと自体,コトジタイ
現在B4,ゲンザイビーフォー
松本先生,マツモトセンセイ
最近予算,サイキンヨサン
科研,カケン
共同研究,キョウドウケンキュウ
年目,ネンメ
科研,カケン
小町研,コマチケン
研人,ケンニン
文字ごと,モジゴト
ニューラルネット言語モデル,ニューラルネットゲンゴモデル
Wikipediaページ,ウィキペディアページ
自動生成,ジドウセイセイ
生成結果,セイセイケッカ
全部不思議,ゼンブフシギ
本アクセプト,ホンアクセプト
researchpaper,リサーチペーパー
実験設定,ジッケンセッテイ
並列構造,ヘイレツコウゾウ
NL研,エヌエルケン
動画配信再開,ドウガハイシンサイカイ
単語分散,タンゴブンサン
分散表現,ブンサンヒョウゲン
型構文解析,ガタコウブンカイセキ
配信中,ハイシンチュウ
日本語単語,ニホンゴタンゴ
単語ベクトル,タンゴベクトル
NL研,エヌエルケン
Ustream動画,ユーストリームドウガ
動画中継,ドウガチュウケイ
件目,ケンメ
学生セッション,ガクセイセッション
学生セッション,ガクセイセッション
情報処理学会自然言語処理,ジョウホウショリガッカイシゼンゲンゴショリ
自然言語処理研究会,シゼンゲンゴショリケンキュウカイ
音声情報処理,オンセイジョウホウショリ
情報処理研究会,ジョウホウショリケンキュウカイ
研究会共催,ケンキュウカイキョウサイ
共催研究会,キョウサイケンキュウカイ
三回,サンカイ
回目,カイメ
